,경제활동인구,화재발생건수,수소차대수,LPG차대수,전체차량수,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,혼잡시간강도,공시지가평균,공시지가중앙값,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,인구밀도
경제활동인구,1.0,0.8372858955555574,0.9744277883794312,0.983924664925999,0.9838890665452249,-0.14310277743343602,-0.21792071109811748,-0.25836303650633563,0.1536121680916838,-0.1478384217799032,-0.09096944267412213,-0.06993239160283996,-0.2452268529217274,-0.33875502290254716,-0.36346289347100114,0.3371669921307179,0.3301142893642963,0.3205322800661397,0.24136766728349193,0.3158089919995103,0.27723067227176856,-0.09096944267412213,-0.3168499580660842,0.041991181401330416,-0.1873008415119068,-0.2601419671806991,-0.3604424136351282,-0.2602742425256865,-0.44982325422840314,-0.34797225333258,-0.018192809239948635,-0.24868462002128203,-0.17956539999099008,-0.26556764256033194
화재발생건수,0.8372858955555574,1.0,0.8857477706061756,0.85726459777905,0.7800465034047132,-0.27209794075016963,-0.42367336800897143,-0.46518576001364803,0.3156208875813798,-0.4290993435781562,0.2158684561052791,0.3130227836601188,-0.4816003005295967,-0.5861386092235495,-0.5924980757032501,0.2856372002262491,0.4006579373902986,0.41389115872301085,0.20096356159633133,0.37531935454734416,0.4149875937570728,0.2158684561052791,-0.4998696138733181,-0.1943868196654159,-0.369258326061263,-0.33222274284947195,-0.4118229540584293,-0.3336236879765752,-0.3941391951828632,-0.42246938843153636,-0.06786085132166972,-0.28051462585526776,-0.21622797650110787,-0.5468255948779375
수소차대수,0.9744277883794312,0.8857477706061756,1.0,0.9704862327624693,0.9598156230365131,-0.24715602794522862,-0.32934906249285834,-0.3167596294461328,0.10818045527971103,-0.16063821229635936,-0.004079186783020444,0.034373921302761984,-0.2524529684735807,-0.36580333081956584,-0.3869466018868049,0.3136183971146649,0.3431715420861576,0.3416470128189784,0.23247344255662908,0.3277957742750592,0.30511569164914387,-0.004079186783020444,-0.33519231098746827,0.01811749428913202,-0.1905568301387538,-0.24636655964351406,-0.3482143418485601,-0.24889230673658636,-0.4184402259617243,-0.3369235510056541,0.013694089760749172,-0.22588121316403273,-0.15535680855689507,-0.31057561846285964
LPG차대수,0.983924664925999,0.85726459777905,0.9704862327624693,1.0,0.9560032276067286,-0.0815096580825882,-0.17663068312651134,-0.25323759081762603,0.257269763368898,-0.18105573845972,-0.14885500997536252,-0.09983414823719022,-0.276100320642367,-0.3994025982890251,-0.41463803388168724,0.4289796026124025,0.4076860670203122,0.3865975278622553,0.23388498495427798,0.351285859590065,0.3160996029562236,-0.14885500997536252,-0.34806617524372235,-0.052810903926755345,-0.2630052335332207,-0.30309889393360817,-0.3832501528908685,-0.2854676229727589,-0.43060429588411825,-0.3680843877702019,-0.0641361496910773,-0.2792257515454947,-0.22173686018419614,-0.22047353921674087
전체차량수,0.9838890665452249,0.7800465034047132,0.9598156230365131,0.9560032276067286,1.0,-0.17615569277512924,-0.23806220070431014,-0.20795602196614957,0.08427826027723688,-0.1304989286735329,-0.11958611634869422,-0.14088694523169926,-0.2137550260339151,-0.23920639781669978,-0.27615284391882633,0.37848699022470944,0.3620697818905627,0.3539219111020099,0.30810193995621293,0.3455943876895824,0.2951929224155358,-0.11958611634869422,-0.36406916917228427,0.03444824818806025,-0.21265555172240455,-0.31314240443313834,-0.4344270942845632,-0.3314442387087163,-0.5360170103643328,-0.4155464686080433,-0.08834703144214956,-0.32297813659794467,-0.24662063416738617,-0.17196743129363376
총교통량,-0.14310277743343602,-0.27209794075016963,-0.24715602794522862,-0.0815096580825882,-0.17615569277512924,1.0,0.9751393516558808,0.703076565542768,0.6970133404537229,0.41985178445892957,-0.5672641791782341,-0.4183726833207651,0.4273020342301369,0.11685877414732944,0.15261488736770285,-0.02440938148167413,-0.26184873041166323,-0.35735420889869624,-0.5859144818990802,-0.5159169335869394,-0.5435885389797969,-0.5672641791782341,-0.017057365145100402,-0.300421400300554,-0.14015021720128343,-0.1356398194954686,-0.021835971404023498,-0.008191239308854088,0.17202262550660533,-0.013628334460750747,-0.17522348456891998,-0.11101735067127858,-0.08165206023891071,0.6073756164334704
개인승용차교통량,-0.21792071109811748,-0.42367336800897143,-0.32934906249285834,-0.17663068312651134,-0.23806220070431014,0.9751393516558808,1.0,0.7779795086764149,0.5218955557696453,0.5735038354988756,-0.6124465371503781,-0.4864909146865381,0.575079470580158,0.2771639255048766,0.31179982648242466,-0.13575350545684375,-0.3960291001349364,-0.487998836233074,-0.6325763267100133,-0.615167142313168,-0.6593140671138847,-0.6124465371503781,0.12578498861365903,-0.17784536154908528,0.0009677608486477747,-0.03204816099253573,0.09218173413163594,0.09349424720254129,0.23275597545995966,0.10137708920797721,-0.09824697683017243,-0.01588177897087666,0.0028983583733675445,0.646720878401007
버스교통량,-0.25836303650633563,-0.46518576001364803,-0.3167596294461328,-0.25323759081762603,-0.20795602196614957,0.703076565542768,0.7779795086764149,1.0,0.1445557182933955,0.7640015751389582,-0.7509905733935732,-0.6634319054142469,0.8412280497280075,0.763536809967871,0.7849314980883412,-0.20971365933526298,-0.4934517126141612,-0.5639341586956234,-0.6467712979097221,-0.7109063638247147,-0.7605566217055643,-0.7509905733935732,-0.1529096462801774,-0.3994237025154927,-0.21479814076047313,-0.3502590243300929,-0.20767393065400108,-0.24825831579800206,-0.15812818337713241,-0.21001005681854706,-0.41034895095871154,-0.3400914198737293,-0.3281190098059287,0.5717689876027168
화물차교통량,0.1536121680916838,0.3156208875813798,0.10818045527971103,0.257269763368898,0.08427826027723688,0.6970133404537229,0.5218955557696453,0.1445557182933955,1.0,-0.25813029348529665,-0.16956933298963234,-0.006799062246023968,-0.2467691623954011,-0.4978632176272822,-0.47172147783161084,0.3400679994029073,0.27612606154327857,0.2066381126057655,-0.194079422706351,0.020676646934630918,0.05623491078379382,-0.16956933298963234,-0.4096382863172266,-0.5199388991285143,-0.48496133430905,-0.3515998337354523,-0.3204108527662003,-0.2683061613267043,-0.030197455138944437,-0.31700133384153295,-0.29338853340651583,-0.31036214184247585,-0.2596559247477738,0.24222566648230004
혼잡빈도강도,-0.1478384217799032,-0.4290993435781562,-0.16063821229635936,-0.18105573845972,-0.1304989286735329,0.41985178445892957,0.5735038354988756,0.7640015751389582,-0.25813029348529665,1.0,-0.5057717741602766,-0.39897280771452304,0.9815424590658983,0.7126917580606588,0.7427143391463382,-0.5819701647403979,-0.7960197714310351,-0.8365480327633374,-0.7591618596261137,-0.8583010273212802,-0.9134863294824189,-0.5057717741602766,0.35274916497933895,0.14816121700710638,0.3493500797396869,0.18115112295409058,0.3100975503624077,0.28270472393682433,0.23141091691464075,0.30513078353168005,0.1857261054151216,0.20893854872394066,0.2186399656419893,0.3193809153582887
