지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,거리_최솟값,최소거리2개평균,입지선정지수
27140111,방촌동,대구광역시,동구,방촌동,2202068,12860.0,10415.0,670.0,1775.0,91.75,4,1,21560.31746,94.97,1184206.383,1012000,35.8800556,128.6652466,449.3382585,539.1735812,557.1406457,744.650053,1845.263055,2402.43066,54,32,10,18,230,167,2,28,54,321,916,2973.2192866122973,4438.267964147051,-10066.293513325998
27110123,동성로2가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,18329045.45,12200000,35.8700737,128.5956082,460.6667658,634.369327,726.4117334,953.4893544,1151.548106,1564.81876,24,9,22,8,155,16,0,8,11,71,324,1071.633966761094,3065.2733281980973,-9435.536476
27110105,삼덕동1가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,800.0,84.65,7121206.897,4793000,35.8662987,128.5983625,415.5540428,608.9221751,796.8140227,527.3635067,843.7305021,1278.244035,30,13,25,16,188,54,2,7,43,255,633,595.5292772626665,2966.270144678078,-9183.2062
27290112,죽전동,대구광역시,달서구,죽전동,2207058,13081.0,10666.0,715.0,1700.0,64.37,2,0,19385.13514,78.0,1691500.0,1402500,35.85779,128.539013,200.889095,362.9951782,507.5352559,633.5156379,1076.631021,1212.552384,65,21,18,17,130,104,4,31,32,152,574,3578.024294317327,4126.320993201092,-9003.343621733999
27110107,삼덕동3가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,14133.33333,84.65,1791692.308,1657000,35.8645571,128.6092875,589.1937457,805.5638987,895.7120736,462.2266292,501.7110446,820.4310288,55,16,2,14,45,55,3,6,2,114,312,589.2589547616715,2461.368478840231,-8955.651699923
27110106,삼덕동2가,대구광역시,중구,삼덕동,2201054,16679.0,14398.0,537.0,1744.0,69.64,0,0,11426.92308,84.65,2598456.522,2097500,35.8655904,128.6026125,329.4129733,495.2023809,688.2240956,148.8092793,519.0670244,958.4117976,64,8,34,11,85,38,5,29,12,158,444,330.50583191113776,2638.089887131141,-8943.547623148
27110119,동성로3가,대구광역시,중구,성내2동,2201059,6833.0,5728.0,350.0,754.0,51.32,0,0,6619.74,71.1,11325250.0,10429000,35.8676904,128.5938875,645.7527876,817.2505635,899.9924531,959.9249665,1211.423145,1647.709524,9,25,9,4,69,11,3,2,8,86,226,1009.9146547421288,3025.7365805918294,-8892.306394000001
27110117,남일동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6837076.923,7868000,35.8693901,128.5942224,582.2457982,682.5897967,781.8731565,1013.609539,1229.168602,1628.603919,5,17,8,2,26,14,0,3,4,56,135,1102.934990078655,3041.4796420924067,-8623.095976
27290113,감삼동,대구광역시,달서구,감삼동,2207057,13246.0,11026.0,628.0,1592.0,69.08,2,2,25261.86441,78.36,1844593.939,1426500,35.8515466,128.5502823,730.8010023,842.3396051,1000.30371,632.1667828,785.0741393,1081.344023,126,64,31,73,364,261,7,52,57,506,1541,4256.018701789742,4595.974415021003,-8615.205807871
27110148,동성로1가,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6274857.143,7762000,35.8730919,128.5957162,450.9011242,520.14872,612.4159559,1179.734584,1296.44877,1622.481371,0,4,0,0,142,3,0,1,1,5,156,1341.2483630645688,3137.2640609333685,-8595.900475999999
27110112,덕산동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,8000571.429,8035000,35.8660855,128.5932916,768.5175896,932.1429068,1012.200264,967.4885122,1241.459868,1699.976397,12,14,19,6,319,43,0,4,7,95,519,972.5698836687468,3028.219814529856,-8546.863976
27110122,공평동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,7881744.444,6677000,35.8696654,128.597925,248.0052553,558.0729146,688.7802186,767.3707113,975.1584994,1377.179015,26,11,26,13,76,51,1,29,24,172,429,912.5378262118692,3090.033027037915,-8300.958976
27110115,사일동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,6041000.0,4575500,35.8711407,128.5943675,541.5760964,573.4563644,676.9896423,1115.106611,1286.572827,1639.641007,18,4,3,3,16,7,0,5,5,20,81,1234.3534355470708,3070.7774734117315,-7980.012976
27110101,동인동1가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,2,0,13277.77778,75.1,1822368.0,1815000,35.8725122,128.60349,160.1049638,257.9027904,502.5835919,486.1556426,763.6957583,1125.051293,24,1,0,3,26,5,1,33,2,61,156,1094.578105907009,3106.4424617383797,-7906.285666717999
27260102,만촌동,대구광역시,수성구,만촌동,2206055,11226.0,9276.5,604.0,1345.0,69.405,24,1,8299.84,76.35,2216154.338,1610000,35.8663111,128.6399664,255.1815514,339.3886535,373.4424679,112.8103024,857.4928379,1195.33493,220,216,26,91,482,292,7,73,78,515,2000,1933.3843575281203,2639.46868781131,-7893.573403999999
27110157,대봉동,대구광역시,중구,대봉동,2201068,9659.0,8251.0,435.0,972.0,62.98,2,1,14926.19,78.06,2050974.83,1772000,35.861649,128.6043,150.1347947,585.4361445,817.2633203,37.27445485,461.2224551,974.2621248,197,43,12,36,397,160,3,78,31,328,1285,149.12680301034882,2426.823121109021,-7871.903129
27230107,노원동1가,대구광역시,북구,노원동,2205081,8731.0,7020.0,300.0,1412.0,73.35,1,0,9283.870968,81.57,1472489.744,1387000,35.8890571,128.5798375,82.46149382,484.8407196,674.4500283,553.4621465,1182.180022,1908.198126,55,6,0,6,36,25,1,10,13,122,274,3144.3569465006567,3377.41353177946,-7793.182999360799
27230108,노원동2가,대구광역시,북구,노원동,2205081,8731.0,7020.0,300.0,1412.0,73.35,1,0,9535.897436,81.57,1394567.273,1260000,35.8911154,128.5737,321.3743736,452.4891409,542.5833531,284.1047035,962.0877894,1807.815843,12,1,3,8,54,32,4,10,11,105,240,2594.4514528373998,3363.1074284686724,-7783.311810771599
27110151,화전동,대구광역시,중구,성내1동,2201056,8176.0,6722.0,639.0,814.0,42.91,0,0,5355.56,62.36,3134272.727,3509000,35.8731718,128.5948048,381.8637483,472.1560461,599.8787025,1244.49239,1360.999109,1663.724198,2,0,0,0,31,1,1,1,1,10,47,1391.9724358946771,3122.8150536320404,-7776.419976
27290118,유천동,대구광역시,달서구,월성1동,2207062,6685.0,5388.0,314.0,983.0,54.86,3,0,26760.8,73.15,2148446.667,2365000,35.8155,128.5132,251.3817697,314.087087,443.0485185,918.0139658,1505.1682,1972.290505,9,60,2,6,62,48,0,1,18,74,280,3780.7837560668186,6248.664413171611,-7774.22878
27110103,동인동3가,대구광역시,중구,동인동,2201070,11508.0,9861.0,427.0,1221.0,59.1,0,0,11355.88235,75.1,1471883.929,1389000,35.8721571,128.609925,391.1354026,492.6039616,715.8891726,167.399122,556.415546,900.8672521,62,5,0,5,48,28,1,14,4,20,187,1217.2910886164016,2894.745692746916,-7767.839382284999
