번호,소속지회,경로당명,주소,위도,경도
1206,서구지회,내서,대구광역시 서구 달구벌대로 365길 21-5  ,35.862603860,128.563053387
1207,서구지회,시영내당(아),대구광역시 서구 서대구로8길 15  ,35.862975887,128.557743960
1208,서구지회,홍실1차,대구광역시 서구 서대구로8길 49  ,35.862135842,128.561518612
1209,서구지회,황성정,대구광역시 서구 통학로 46  ,35.863851643,128.564910006
1210,서구지회,홍실2차,대구광역시 서구 통학로 39  ,35.863948621,128.563890728
1211,서구지회,이편한세상,대구광역시 서구 달구벌대로361길 41  ,35.863807059,128.559617152
1212,서구지회,장수 ,대구광역시 서구 큰장로9길 9-3  ,35.865234310,128.571966368
1213,서구지회,내당2동,대구광역시 서구 큰장로15길 14-20  ,35.867770978,128.574660849
1214,서구지회,내당,대구광역시 서구 평리로 408-13  ,35.865954202,128.567581014
1215,서구지회,천일,대구광역시 서구 달구벌대로373길 2-24  ,35.862136367,128.568930296
1216,서구지회,삼화,대구광역시 서구 달구벌대로373길 7-5  ,35.861965422,128.567812382
1217,서구지회,삼익맨션,대구광역시 서구 서대구로 25  ,35.860884311,128.555876083
1218,서구지회,광장타운,대구광역시 서구 달구벌대로 1707  ,35.856540771,128.552033715
1219,서구지회,명우,대구광역시 서구 평리로 214  ,35.860324778,128.546931232
1220,서구지회,삼익뉴타운,대구광역시 서구 평리로 236  ,35.859338004,128.548321754
1221,서구지회,내당4동,대구광역시 서구 서대구로3길 43  ,35.858645277,128.552199251
1222,서구지회,내우,대구광역시 서구 당산로51길 28-5  ,35.858784405,128.544770189
1223,서구지회,코오롱,대구광역시 서구 당산로 260  ,35.859486861,128.547177489
1224,서구지회,동화타운,대구광역시 서구 달구벌대로337길 29  ,35.857431726,128.550511934
1225,서구지회,웰빙,대구광역시 서구 서대구로7길 46  ,35.860754442,128.551417534
1226,서구지회,당산,대구광역시 서구 달서로39길 24  ,35.880878488,128.569199848
1227,서구지회,원상,대구광역시 서구 통학로49길 30-27  ,35.881437386,128.559993138
1228,서구지회,만수정,대구광역시 서구 북비산로61길 34  ,35.882870224,128.567739266
1229,서구지회,비산1동,대구광역시 서구 통학로52길 30  ,35.883762149,128.566249483
1230,서구지회,거창,대구광역시 서구 북비산로61길 43-5  ,35.883559587,128.566584332
1231,서구지회,비룡,대구광역시 서구 북비산로75길 6  ,35.879565489,128.574283391
1232,서구지회,인동촌  ,대구광역시 서구 북비산로74길 17  ,35.878253728,128.575016345
1233,서구지회,달성  ,대구광역시 서구 달성공원로 13-14  ,35.871736409,128.579063270
1234,서구지회,모범,대구광역시 서구 달서로26길 35-8  ,35.872676478,128.575342905
1235,서구지회,장수,대구광역시 서구 달서로34길 13-14  ,35.877571271,128.573087472
1236,서구지회,쉼터,대구광역시 서구 달서로34길 23-6  ,35.877266511,128.574113167
1237,서구지회,상록 ,대구광역시 서구 달서로18길 42-3  ,35.870551462,128.575891919
1238,서구지회,동흔 ,대구광역시 서구 국채보상로76길 27-1  ,35.869558366,128.572123461
1239,서구지회,일구 ,대구광역시 서구 평리로85길 15  ,35.868277413,128.569827097
1240,서구지회,비산한신휴플러스,대구광역시 서구 달서로17길 17  ,35.870134011,128.568713714
1241,서구지회,비산우방아파트,대구광역시 서구 통학로24길 60  ,35.871068074,128.569511301
1242,서구지회,비산5동제1,대구광역시 서구 서대구로68길 60-9  ,35.887809402,128.568956396
1243,서구지회,비산5동제2,대구광역시 서구 달서천로61길 2-6  ,35.884993343,128.568407052
1244,서구지회,비산6동,대구광역시 서구 문화로69길 26-16  ,35.878287955,128.570527485
1245,서구지회,비산6동제2,대구광역시 서구 달서로27길 13-1  ,35.874399376,128.569618205
1246,서구지회,비산7동제1,대구광역시 서구 달서천로49안길 31-2  ,35.887081387,128.562755679
1248,서구지회,비산7동제2 ,대구광역시 서구 서대구로 346-2  ,35.887701334,128.559819928
1249,서구지회,들마을,대구광역시 서구 통학로30길 5-15  ,35.874349419,128.563367343
1250,서구지회,신도,대구광역시 서구 문화로 313-14  ,35.876304701,128.566336333
1251,서구지회,평산,대구광역시 서구 통학로40길 37-2  ,35.878580654,128.566943872
1252,서구지회,서부,대구광역시 서구 국채보상로 336-6  ,35.871717903,128.567828921
1253,서구지회,평원,대구광역시 서구 국채보상로66길 38-8  ,35.868846425,128.566518459
1254,서구지회,평리2동,대구광역시 서구 국채보상로60길 35-9  ,35.868797111,128.564754031
1255,서구지회,평리롯데캐슬,대구광역시 서구 국채보상로 316  ,35.871389658,128.564946033
1256,서구지회,새마을,대구광역시 서구 서대구로36길 5-16  ,35.874818880,128.555624918
1257,서구지회,평안,대구광역시 서구 서대구로42길 47-15  ,35.877395268,128.559821576
1258,서구지회,서안,대구광역시 서구 북비산로 229-4  ,35.879485210,128.558208543
1259,서구지회,평리 ,대구광역시 서구 서대구로42길 67-1  ,35.876983214,128.562491176
1260,서구지회,만수,대구광역시 서구 평리로57길 15  ,35.864574388,128.554194736
1261,서구지회,청수,대구광역시 서구 국채보상로52길 27-35  ,35.869098487,128.561606520
1262,서구지회,평광,대구광역시 서구 국채보상로50길 42-37  ,35.867006822,128.559110253
1263,서구지회,장수,대구광역시 서구 평리로73길 11-15  ,35.866269838,128.562040446
1264,서구지회,평리청구아파트,대구광역시 서구 서대구로 77  ,35.864902046,128.554858292
1265,서구지회,평리푸르지오,대구광역시 서구 국채보상로50길 20  ,35.869816508,128.559559504
1266,서구지회,평리5동경로당,대구광역시 서구 서대구로31길 11  ,35.871776612,128.552774312
1267,서구지회,평리6동,대구광역시 서구 서대구로45길 57-8  ,35.877611120,128.548264725
1268,서구지회,복지,대구광역시 서구 서대구로41길 10  ,35.876968062,128.553686537
1269,서구지회,새동네,대구광역시 서구 북비산로31길 11-28  ,35.880240274,128.550061084
1270,서구지회,상리1동,대구광역시 서구 새방로27길 4  ,35.868193658,128.529443266
1271,서구지회,상리2동,대구광역시 서구 가르뱅이로 63-24  ,35.882866275,128.530276042
1272,서구지회,이현,대구광역시 서구 북비산로 104-8  ,35.878168245,128.544338920
1273,서구지회,중리시영2차,대구광역시 서구 국채보상로38길 32  ,35.867264833,128.551593779
1274,서구지회,꽃동네,대구광역시 서구 평리로 221  ,35.862909038,128.547877487
1275,서구지회,두견화,대구광역시 서구 국채보상로36길 42  ,35.865684993,128.550654094
1276,서구지회,중리,대구광역시 서구 와룡로70길 66  ,35.863530677,128.544830998
1277,서구지회,진달래,대구광역시 서구 국채보상로38길 22  ,35.867703773,128.552178975
1278,서구지회,중리시영(아),대구광역시 서구 당산로 324  ,35.864236176,128.547288973
1279,서구지회,중리일송,대구광역시 서구 당산로53길 110-4  ,35.858192556,128.540857071
1280,서구지회,중리상록,대구광역시 서구 국채보상로36길 16-2  ,35.868040145,128.550812353
1281,서구지회,중리롯데캐슬,대구광역시 서구 국채보상로34길 12  ,35.866174663,128.548956050
1282,서구지회,"원대1,2가제1",대구광역시 서구 달서천로 405-3  ,35.881767258,128.578167023
1283,서구지회,"원대1,2가제2",대구광역시 서구 달서천로86길 6-10  ,35.880250070,128.578658091
1284,서구지회,원대3가제1,대구광역시 서구 고성로21길6  ,35.883059417,128.577405998
1285,서구지회,원대3가제2,대구광역시 서구 옥산로2길 7-13  ,35.886086220,128.576515516
1286,서구지회,금류타운,대구광역시 서구 원대로13길 2  ,35.882968493,128.580581103
1287,서구지회,센트럴자이,대구광역시 서구 고성로 33  ,35.886837938,128.574217156
1288,수성구지회,범어1동 제1경로당,대구광역시 수성구 동대구로54길 7 ,35.853837487,128.627509730
1289,수성구지회,범어1동 제2경로당,대구광역시 수성구 청솔로16길 35 ,35.851818360,128.622872578
1290,수성구지회,궁전맨션경로당,대구광역시 수성구 동대구로 274 ,35.853875000,128.626187299
1291,수성구지회,아진맨션경로당,대구광역시 수성구 동대구로 38길 80 ,35.849807359,128.627798170
1292,수성구지회,태왕유성하이빌경로당,대구광역시 수성구 동대구로 250 ,35.852725126,128.625809124
1293,수성구지회,범어유림노르웨이숲경로당,대구광역시 수성구 동대구로50길 37 ,35.853093932,128.627247802
1294,수성구지회,범어1동 청구푸른마을경로당,대구광역시 수성구 동대구로 240 ,35.851680750,128.627602528
1295,수성구지회,범어쌍용예가아파트경로당,대구광역시 수성구 명덕로 477 ,35.854209724,128.621724730
1296,수성구지회,범어롯데캐슬경로당,대구광역시 수성구 동대구로 300 ,35.856767574,128.627296423
1297,수성구지회,범어2동 제1경로당,대구광역시 수성구 동원로11길 14 ,35.863736652,128.638879222
1298,수성구지회,범어2동 제2경로당,대구광역시 수성구 동대구로80길 73-3 ,35.866213291,128.631120714
1299,수성구지회,범어2동 두산위브더제니스경로당,대구광역시 수성구 달구벌대로 2435 ,35.860479220,128.629407158
1300,수성구지회,범어3동 제1경로당,대구광역시 수성구 들안로78길 46 ,35.865396160,128.620396795
1301,수성구지회,청구성조타운경로당,대구광역시 수성구 국채보상로 846 ,35.867024094,128.622711334
1302,수성구지회,범어화성파크드림경로당,대구광역시 수성구 범어천로 180 ,35.863053785,128.621953424
1303,수성구지회,범어태왕아너스경로당,대구광역시 수성구 상록로 41 ,35.862911979,128.623376210
1304,수성구지회,래미안수성경로당,대구광역시 수성구 상록로 69 ,35.865747191,128.623031914
1305,수성구지회,범어월드메르디앙 웨스턴카운티경로당,대구광역시 수성구 범어천로 200 ,35.864123660,128.619820123
1306,수성구지회,범어역우방유쉘경로당,대구광역시 수성구 동대구로 345 ,35.862034607,128.625659277
1307,수성구지회,범어4동제1경로당,대구광역시 수성구 청호로85길 46 ,35.856849332,128.639232690
1308,수성구지회,유신경로당,대구광역시 수성구 청호로88안길 29-3 ,35.856201345,128.642164186
1309,수성구지회,범어4동제2경로당,대구광역시 수성구 범어로20길 24-1 ,35.857687907,128.637134202
1310,수성구지회,장원맨션경로당,대구광역시 수성구 청호로 370 ,35.851550375,128.639445222
1311,수성구지회,범어가든3차경로당,대구광역시 수성구 청호로 365 ,35.850051654,128.637394483
1312,수성구지회,서한두레맨션경로당,대구광역시 수성구 달구벌대로496길72 ,35.851944725,128.634696429
1313,수성구지회,범어청구하이츠경로당,대구광역시 수성구 청호로84안길2 ,35.853912991,128.640794906
1314,수성구지회,범어에스케이뷰경로당,대구광역시 수성구 범어로 73 ,35.855649199,128.634428738
1315,수성구지회,우방청솔경로당,대구광역시 수성구 청호로 422 ,35.854113599,128.640283542
