번호,소속지회,경로당명,주소,위도,경도
1541,중구지회,동인1.2가동,대구광역시 중구 국채보상로 679-13 ,35.869779299,128.604970185
1542,중구지회,동인4가동,대구광역시 중구 국채보상로142길 33-41 ,35.866960719,128.610067902
1543,중구지회,동인시티타운,대구광역시 중구 국채보상로 131길 55 ,35.872731839,128.602073872
1544,중구지회,동인3가동,대구광역시 중구 동덕로38길 85 ,35.871108990,128.609210262
1545,중구지회,동인삼정그린,대구광역시 중구 동덕로30길 53 ,35.867443875,128.606890887
1546,중구지회,삼덕3가동,대구광역시 중구 달구벌대로443길 44-40 ,35.864594505,128.606089854
1547,중구지회,삼덕12가동,대구광역시 중구 공평로4길25 ,35.865369954,128.601337978
1548,중구지회,삼덕청아람,대구광역시 중구 달구벌대로 447길 77 ,35.866344574,128.607024007
1549,중구지회,봉산동,대구광역시 중구 봉산문화길1-4 ,35.860523184,128.598244568
1550,중구지회,라이프태평아파트,대구광역시 중구 태평로 177 ,35.874822925,128.597897897
1551,중구지회,동성동,대구광역시 중구 교동길 79-6 ,35.873670922,128.599149291
1552,중구지회,봉산뜨란채,대구광역시 중구 봉산문화길 69 ,35.862863501,128.596767199
1553,중구지회,남성동,대구광역시 중구 약령길 33-6 ,35.868176274,128.588738648
1554,중구지회,북성동,대구광역시 중구 서성로14길 51-18 ,35.873131008,128.589552964
1555,중구지회,동산동,대구광역시 중구 달구벌대로 401길 20-17 ,,
1556,중구지회,신성미소시티,대구광역시 중구 달구벌대로 2051 ,35.866821963,128.588263249
1557,중구지회,달성동,대구광역시 중구 달성공원로 42-3 ,35.874290551,128.580336696
1558,중구지회,서성동,대구광역시 중구 서성로15길 27-1 ,35.872640417,128.586101778
1559,중구지회,대구역센트럴자이,대구광역시 중구 서성로 99 ,35.875437908,128.587530821
1560,중구지회,대신서문,대구광역시 중구 큰장로24안길 31-6 ,35.866204602,128.578896661
1561,중구지회,일신,대구광역시 중구 국채보상로93길31-1 ,35.872057427,128.580611007
1562,중구지회,태왕아너스스카이,대구광역시 중구 달구벌대로 1975 ,35.864509267,128.579766215
1563,중구지회,대신자이,대구광역시 중구 달구벌대로 1955 ,35.863873467,128.577714793
1564,중구지회,이편한세상대신,대구광역시 중구 달구벌대로 1943 ,35.863602293,128.576826855
1565,중구지회,남산1동,대구광역시 중구 중앙대로62길 30-3 ,35.859818981,128.593980689
1566,중구지회,남문,대구광역시 중구 228길 10-16 ,,
1567,중구지회,효성해링턴플레이스,대구광역시 중구 중앙대로66길 20 ,35.861337891,128.593175137
1568,중구지회,남산2동,대구광역시 중구 명륜로6길 27-1 ,35.863935734,128.587469333
1569,중구지회,대남,대구광역시 중구 명륜로6길 5 ,35.864263259,128.588526594
1570,중구지회,반월당삼정그린코아,대구광역시 중구 중앙대로67길10 ,35.863520408,128.592769135
1571,중구지회,남산롯데캐슬센트럴스카이,대구광역시 중구 재마루길 77 ,35.863288154,128.584463249
1572,중구지회,이편한세상남산경로당,대구광역시 중구 달구벌대로 2020 ,35.865274118,128.584995053
1573,중구지회,반월당역서한포레스트,대구광역시 중구 중앙대로67길 11 ,35.863022957,128.591402134
1574,중구지회,남산3동,대구광역시 중구 남산로6안길 27-57 ,35.858363603,128.586461150
1575,중구지회,보성송림,대구광역시 중구 남산로4길 91 ,35.860886490,128.584954641
1576,중구지회,극동스타클래스,대구광역시 중구 남산로 30,35.859178291,128.583375371
1577,중구지회,남산4동,대구광역시 중구 남산로3안길 11 ,35.859981365,128.577721067
1578,중구지회,남산복지관,대구광역시 중구 남산로7길 80 ,35.860305198,128.579254749
1579,중구지회,까치아파트,대구광역시 중구 남산로7길 80 ,35.860305198,128.579254749
1580,중구지회,보성황실,대구광역시 중구 남산로13길 17 ,35.861534175,128.580959613
1581,중구지회,남산그린타운,대구광역시 중구 달구벌대로 1950 ,35.861531388,128.577832703
1582,중구지회,청라센트럴파크 ,대구광역시 중구 달구벌대로 1970 ,35.863868039,128.580808045
1583,중구지회,남산휴먼시아1단지,대구광역시 중구 달구벌대로 1960 ,35.862223968,128.578582042
1584,중구지회,남산역화성파크드림,대구광역시 중구 남산로7길7 ,35.858648352,128.582325405
1585,중구지회,남산자이하늘채,대구광역시 중구 명덕로 33 ,35.860474747,128.575145069
1586,중구지회,청운,대구광역시 중구 동덕로 33 ,35.857088765,128.603904308
1587,중구지회,대봉1동,대구광역시 중구 달구벌대로 440길 27 ,35.861472174,128.604408906
1588,중구지회,센트로팰리스,대구광역시 중구 대봉로 260 ,35.861760354,128.601144573
1589,중구지회,대봉태왕아너스,대구광역시 중구 동덕로 55 ,35.859950305,128.603897388
1590,중구지회,대봉2동,대구광역시 중구 명륜로 138-9 ,35.859722082,128.599433805
1591,중구지회,대봉화성파크드림,대구광역시 중구 명덕로55길 25 ,35.856795980,128.599541501
1592,중구지회,더샵리비테르2차,대구광역시 중구 대봉로43길 22 ,35.858098667,128.599809894
1593,중구지회,더샵리비테르1차경로당,대구광역시 중구 대봉로43길 21 ,35.857062719,128.601102453
