학교명,소재지지번주소,위도,경도
대구보건고등학교,대구광역시 달서구 두류동 1207-1,35.85810993,128.5726243
한울안중학교,대구광역시 달성군 현풍읍 지리 988,35.66893799,128.4308448
대구상원고등학교,대구광역시 달서구 상인동 1,35.82168481,128.5394052
대구고등학교,대구광역시 남구 대명동 187,35.84910923,128.588795
신아중학교,대구광역시 동구 신암동 28,35.8882462,128.634902
정화여자고등학교,대구광역시 수성구 범어동 산105-1,35.84940778,128.6418878
대구남덕초등학교,대구광역시 남구 대명동 531-1,35.83306282,128.5739472
새본리중학교,대구광역시 달서구 본리동 330-1,35.83942395,128.5409677
대구운암초등학교,대구광역시 북구 구암동 789-4,35.935603,128.565682
대구욱수초등학교,대구광역시 수성구 신매동 602,35.83137706,128.7077006
경상중학교,대구광역시 남구 대명동 1819-11,35.85261994,128.5853705
성명여자중학교,대구광역시 중구 동산동 206,35.86838328,128.584035
대구이현초등학교,대구광역시 서구 평리동 1500,35.87348606,128.5503997
서대구중학교,대구광역시 서구 평리동 509,35.88031044,128.556626
대구한샘초등학교,대구광역시 달서구 대천동 467,35.816984,128.5188133
도원고등학교,대구광역시 달서구 도원동 1453,35.80527659,128.5454882
구지중학교,대구광역시 달성군 구지면 창리 1441,35.66055732,128.4196709
대구남도초등학교,대구광역시 남구 대명동 1709,35.84427387,128.5813642
월암중학교,대구광역시 달서구 월성동 774-1,35.82716419,128.5238094
대구송정초등학교,대구광역시 동구 괴전동 169,35.87060567,128.7340252
대구해서초등학교,대구광역시 동구 봉무동 1571,35.91807034,128.6430541
대구서부초등학교,대구광역시 서구 비산동 405-1,35.87387969,128.5737138
입석중학교,대구광역시 동구 입석동 951,35.89105364,128.6448032
새론중학교,대구광역시 동구 신서동 1137,35.87917295,128.7250938
대구두산초등학교,대구광역시 수성구 지산동 1043,35.83259729,128.6260889
대진고등학교,대구광역시 달서구 대곡동 1036,35.80569844,128.518376
대구대성초등학교,대구광역시 서구 비산동 169-1,35.87040591,128.5771526
사수중학교,대구광역시 북구 사수동 815,35.89975825,128.5158207
대구소프트웨어마이스터고등학교,대구광역시 달성군 구지면 창리 324,35.66325082,128.4136189
