학교명,소재지지번주소,위도,경도
정화여자고등학교,대구광역시 수성구 범어동 산105-1,35.84940778,128.6418878
대구욱수초등학교,대구광역시 수성구 신매동 602,35.83137706,128.7077006
대구이현초등학교,대구광역시 서구 평리동 1500,35.87348606,128.5503997
서대구중학교,대구광역시 서구 평리동 509,35.88031044,128.556626
대구서부초등학교,대구광역시 서구 비산동 405-1,35.87387969,128.5737138
대구두산초등학교,대구광역시 수성구 지산동 1043,35.83259729,128.6260889
대구대성초등학교,대구광역시 서구 비산동 169-1,35.87040591,128.5771526
소선여자중학교,대구광역시 수성구 만촌동 862-17,35.85294967,128.6497965
노변중학교,대구광역시 수성구 노변동 735,35.83808624,128.6943549
대구비산초등학교,대구광역시 서구 평리동 662-1,35.878748,128.5643247
계성고등학교,대구광역시 서구 상리동 산119,35.87117298,128.5283449
대구중앙고등학교,대구광역시 수성구 수성동4가 1145-1,35.86646267,128.6172837
대구중앙중학교,대구광역시 수성구 수성동4가 1145-1,35.86646267,128.6172837
범물중학교,대구광역시 수성구 범물동 1366,35.81501767,128.6398567
대구인지초등학교,대구광역시 서구 비산동 1025-10,35.88618347,128.5672852
대구매동초등학교,대구광역시 수성구 매호동 1010,35.845232,128.709215
고산중학교,대구광역시 수성구 시지동 62,35.84528337,128.6986708
대구경동초등학교,대구광역시 수성구 범어동 89,35.85220646,128.639355
오성고등학교,대구광역시 수성구 만촌동 1070,35.85447266,128.6447837
대구서도초등학교,대구광역시 서구 평리동 1111-1,35.86727153,128.5653531
대구신매초등학교,대구광역시 수성구 신매동 583,35.83660884,128.7092663
대구만촌초등학교,대구광역시 수성구 만촌동 980,35.86668961,128.6479227
대구비봉초등학교,대구광역시 서구 비산동 705-1,35.88276366,128.5686561
서대구초등학교,대구광역시 서구 비산동 1484,35.889414,128.5577335
평리중학교,대구광역시 서구 평리동 1070-7,35.87323246,128.5615509
대구달성초등학교,대구광역시 서구 원대동1가 12,35.88281808,128.5792104
정화중학교,대구광역시 수성구 범어동 산105-1,35.84940778,128.6418878
경일중학교,대구광역시 서구 원대동1가 440,35.88139487,128.5763528
경운중학교,대구광역시 서구 내당동 352-4,35.85972807,128.553556
대구고산초등학교,대구광역시 수성구 시지동 161-1,35.84395419,128.693156
대륜고등학교,대구광역시 수성구 만촌동 산241,35.85168394,128.6567622
대구삼육초등학교,대구광역시 수성구 중동 410-1,35.83976721,128.610665
대구매호초등학교,대구광역시 수성구 매호동 611-1,35.84150742,128.7121182
덕원중학교,대구광역시 수성구 욱수동 81,35.82572222,128.705953
동문고등학교,대구광역시 수성구 만촌동 82-4,35.87730148,128.6510319
대구동성초등학교,대구광역시 수성구 수성동1가 282,35.85344552,128.6127108
대구지산초등학교,대구광역시 수성구 지산동 1149,35.82695925,128.6301684
수성중학교,대구광역시 수성구 파동 2,35.82587108,128.6072057
대구청림초등학교,대구광역시 수성구 노변동 367-2,35.83563358,128.7033758
