시도,시군구,행정동,어린이집유형,어린이집명,전화번호,주소,위도,경도
대구광역시,서구,내당1동,국공립,구립 분도어린이집,053-558-2645,대구광역시 서구 달구벌대로365길 3,35.86105239,128.5633306
대구광역시,서구,내당1동,국공립,구립 아이편한숲어린이집,053-554-0964,대구광역시 서구 달구벌대로361길 41,35.86380706,128.5596172
대구광역시,서구,내당1동,민간,유라어린이집,053-562-4279,대구광역시 서구 서대구로6길 31-2,35.86145172,128.5609845
대구광역시,서구,내당1동,가정,해오름어린이집,053-556-7098,대구광역시 서구 통학로7길 19,35.86326718,128.5622176
대구광역시,서구,내당1동,직장,대구서부경찰서어린이집,053-565-3312,대구광역시 서구 통학로 33,35.86330535,128.5639838
대구광역시,서구,내당2.3동,국공립,구립 위즈키즈어린이집,053-522-7953,대구광역시 서구 달서로5길 29,35.86429322,128.5684586
대구광역시,서구,내당2.3동,사회복지법인,내당어린이집,053-558-3425,대구광역시 서구 달서로5길 11-10,35.8637494,128.5697375
대구광역시,서구,내당2.3동,민간,다인어린이집,053-523-0079,대구광역시 서구 달서로7길 9,35.86490069,128.5700774
대구광역시,서구,내당2.3동,민간,동아어린이집,053-571-3431,대구광역시 서구 큰장로9길 9,35.86523386,128.5720823
대구광역시,서구,내당4동,법인・단체등,기쁨어린이집,053-554-3511,대구광역시 서구 서대구로5길 63,35.85933382,128.5496131
대구광역시,서구,내당4동,민간,경운어린이집,053-557-7955,대구광역시 서구 평리로50길 7,35.86199755,128.550735
대구광역시,서구,내당4동,가정,트리니티어린이집,053-555-1855,대구광역시 서구 서대구로3길 69,35.8580776,128.5493848
대구광역시,서구,비산1동,국공립,비산어린이집,053-565-6345,대구광역시 서구 북비산로59길 15-6,35.88070568,128.5651377
대구광역시,서구,비산1동,민간,늘푸른어린이집,053-559-0580,대구광역시 서구 달서로43길 22,35.8819462,128.5696665
대구광역시,서구,비산1동,민간,행복한사과나무어린이집,053-566-9023,대구광역시 서구 북비산로65길 47-1,35.88377624,128.5686569
대구광역시,서구,비산2.3동,사회복지법인,초롱어린이집,053-551-0020,대구광역시 서구 국채보상로83길 39-7,35.87455808,128.5759287
대구광역시,서구,비산2.3동,민간,아이성어린이집,053-563-7922,대구광역시 서구 국채보상로83길 49,35.87562689,128.576158
대구광역시,서구,비산4동,국공립,비산4동어린이집,053-572-4451,대구광역시 서구 달서로18길 22,35.87008862,128.5735806
대구광역시,서구,비산4동,가정,꼬마대통령어린이집,053-523-0425,대구광역시 서구 달서로17길 17,35.87013401,128.5687137
대구광역시,서구,비산5동,국공립,구립 인지어린이집,053-351-1259,대구광역시 서구 서대구로68길 12,35.88831854,128.5658225
대구광역시,서구,비산5동,민간,리라어린이집,053-351-6459,대구광역시 서구 서대구로68길 58-8,35.88770082,128.5682571
대구광역시,서구,비산6동,민간,푸른연세어린이집,053-555-0761,대구광역시 서구 문화로 321-1,35.87607275,128.5678642
대구광역시,서구,비산7동,국공립,별하늘어린이집,053-357-2405,대구광역시 서구 염색공단로9길 5-8,35.88648805,128.5538215
대구광역시,서구,비산7동,민간,행복이가득한어린이집,053-341-7179,대구광역시 서구 달서천로53길 18,35.88562078,128.5621665
대구광역시,서구,상중이동,국공립,구립 온누리어린이집,053-571-5557,대구광역시 서구 당산로47길 114,35.85680525,128.5408688
대구광역시,서구,상중이동,국공립,구립 중리캐슬어린이집,053-525-8253,대구광역시 서구 국채보상로34길 12,35.86617466,128.5489561
대구광역시,서구,상중이동,국공립,서대구어린이집,053-561-9059,대구광역시 서구 평리로35길 10,35.8608515,128.5435807
대구광역시,서구,상중이동,법인・단체등,근로복지공단대구어린이집,053-563-5172,대구광역시 서구 서대구로17길 28,35.86513481,128.5526156
대구광역시,서구,상중이동,민간,더플로우어린이집,053-522-2280,대구광역시 서구 서대구로15길 32-14,35.8641745,128.5526118
대구광역시,서구,상중이동,민간,영재어린이집,053-557-0752,대구광역시 서구 평리로 146,35.85842689,128.5404246
대구광역시,서구,상중이동,가정,영재앙팡어린이집,053-525-0752,대구광역시 서구 평리로 166,35.85924827,128.5423814
대구광역시,서구,상중이동,가정,캐슬어린이집,053-522-1114,대구광역시 서구 국채보상로34길 12,35.86617466,128.5489561
대구광역시,서구,상중이동,가정,튼튼아이어린이집,053-286-7979,대구광역시 서구 국채보상로34길 12,35.86617466,128.5489561
대구광역시,서구,상중이동,직장,대구의료원어린이집,053-552-3923,대구광역시 서구 평리로33길 13,35.86011389,128.5409366
대구광역시,서구,원대동,국공립,구립 서대구자이어린이집,053-352-3244,대구광역시 서구 고성로 33,35.88683794,128.5742172
대구광역시,서구,원대동,국공립,구립 성산어린이집,053-354-8310,대구광역시 서구 원대동3가 옥산로6길 9,35.88573442,128.5789094
대구광역시,서구,원대동,민간,자연아이숲어린이집,053-341-7877,대구광역시 서구 달서로56길 20,35.88565576,128.5768024
대구광역시,서구,평리1동,국공립,구립 궁전어린이집,053-558-6140,대구광역시 서구 국채보상로61길 24,35.87425987,128.5645531
대구광역시,서구,평리2동,국공립,구립 윤성어린이집,053-568-3464,대구광역시 서구 국채보상로60길 14,35.87056632,128.5638258
대구광역시,서구,평리2동,사회복지법인,들마을어린이집,053-523-4500,대구광역시 서구 국채보상로60길 48-1,35.86747899,128.5642815
대구광역시,서구,평리2동,가정,사랑송송어린이집,053-959-4417,대구광역시 서구 국채보상로 316,35.87138966,128.564946
대구광역시,서구,평리3동,국공립,구립 반도유보라어린이집,053-524-7979,대구광역시 서구 문화로 230,35.87509396,128.556472
대구광역시,서구,평리3동,민간,꿈동산어린이집,053-559-7304,대구광역시 서구 통학로31길 10,35.87382215,128.5619151
대구광역시,서구,평리3동,민간,민들레어린이집,053-551-9357,대구광역시 서구 서대구로42길 15,35.87712164,128.5566614
대구광역시,서구,평리3동,민간,창의나라어린이집,053-525-7922,대구광역시 서구 문화로51길 9,35.87665799,128.5606065
대구광역시,서구,평리4동,국공립,구립 아이꿈어린이집,053-561-4529,대구광역시 서구 평리로55길 24,35.86577252,128.55376
대구광역시,서구,평리4동,민간,글나라어린이집,053-559-0111,대구광역시 서구 국채보상로46길 31-27,35.86802315,128.5576265
대구광역시,서구,평리4동,민간,라온어린이집,053-558-4000,대구광역시 서구 국채보상로46길 49-11,35.86637731,128.5570922
대구광역시,서구,평리4동,민간,라임나무어린이집,053-565-7977,대구광역시 서구 통학로23길 10-1,35.87094559,128.561758
대구광역시,서구,평리4동,민간,애림어린이집-영아,053-564-9996,대구광역시 서구 국채보상로46길 37-11,35.8674722,128.5573136
대구광역시,서구,평리4동,민간,푸르지오2어린이집,053-551-4556,대구광역시 서구 국채보상로50길 20,35.86981651,128.5595595
대구광역시,서구,평리4동,민간,푸르지오어린이집,053-553-4556,대구광역시 서구 국채보상로50길 20,35.86981651,128.5595595
대구광역시,서구,평리4동,가정,세인어린이집,053-527-5607,대구광역시 서구 국채보상로50길 20,35.86981651,128.5595595
대구광역시,서구,평리4동,가정,이레어린이집,053-525-7676,대구광역시 서구 국채보상로50길 20,35.86981651,128.5595595
대구광역시,서구,평리5동,국공립,구립 서한이다음어린이집,053-216-1004,대구광역시 서구 국채보상로37길 38,35.87235281,128.5518093
대구광역시,서구,평리5동,국공립,구립 화성파크드림어린이집,053-567-0505,대구광역시 서구 서대구로29길 30,35.8705547,128.5472175
대구광역시,서구,평리6동,국공립,구립 영무예다음어린이집,053-564-5768,대구광역시 서구 당산로 446,35.87467142,128.5471971
대구광역시,서구,평리6동,사회복지법인,신애어린이집,053-567-2595,대구광역시 서구 북비산로33길 9-2,35.88011448,128.5514461
대구광역시,수성구,고산1동,국공립,국공립열린어린이집,053-793-5957,대구광역시 수성구 고산로4길 80,35.83072191,128.7057517
대구광역시,수성구,고산1동,국공립,국공립웰리치어린이집,053-791-5575,대구광역시 수성구 욱수천로 55,35.83265914,128.7101694
대구광역시,수성구,고산1동,국공립,국공립포레스트어린이집,053-793-7972,대구광역시 수성구 욱수천로2길 22,35.83158596,128.711669
대구광역시,수성구,고산1동,사회복지법인,동산어린이집,053-791-6268,대구광역시 수성구 달구벌대로652길 65-6,35.83221687,128.7102061
대구광역시,수성구,고산1동,사회복지법인,전원어린이집,053-793-9112,대구광역시 수성구 유니버시아드로68길 16,35.8278926,128.7066151
대구광역시,수성구,고산1동,민간,피터팬어린이집,053-795-9155,대구광역시 수성구 달구벌대로650길 37-4,35.83518575,128.7102122
대구광역시,수성구,고산1동,가정,다사랑어린이집,053-791-3196,대구광역시 수성구 신매로 91,35.83750996,128.7081881
대구광역시,수성구,고산2동,국공립,고산하나어린이집,053-791-8978,대구광역시 수성구  시지로 11,35.84194539,128.6926723
대구광역시,수성구,고산2동,국공립,국공립메르디앙어린이집,053-794-5556,대구광역시 수성구 노변로 55,35.83726595,128.6996584
대구광역시,수성구,고산2동,국공립,국공립수성알파시티어린이집,053-792-0055,대구광역시 수성구 알파시티2로 48,35.83797535,128.6930397
대구광역시,수성구,고산2동,국공립,국공립아이숲어린이집,053-793-5450,대구광역시 수성구 노변공원로 34,35.83931061,128.697206
대구광역시,수성구,고산2동,국공립,국공립알파시티청아람어린이집,053-791-0707,대구광역시 수성구 알파시티2로 96,35.83511446,128.6968073
대구광역시,수성구,고산2동,국공립,국공립예은어린이집,053-793-9027,대구광역시 수성구 천을로 34-9,35.84469646,128.6949469
대구광역시,수성구,고산2동,국공립,국공립월드키즈어린이집,053-792-7959,대구광역시 수성구 천을로 70,35.84453715,128.6981587
대구광역시,수성구,고산2동,사회복지법인,사회복지법인 녹원어린이집,053-793-0306,대구광역시 수성구 천을로8길 17,35.84427154,128.6967582
대구광역시,수성구,고산2동,사회복지법인,사회복지법인고운어린이집,053-791-7575,대구광역시 수성구 노변공원로7길 6-24,35.83554931,128.6983016
대구광역시,수성구,고산2동,사회복지법인,사회복지법인나르샤어린이집,053-781-6006,대구광역시 수성구 달구벌대로569길 22,35.84748188,128.6729964
대구광역시,수성구,고산2동,법인・단체등,선화어린이집,053-791-0815,대구광역시 수성구 노변공원로 49-1,35.83776882,128.698576
대구광역시,수성구,고산2동,민간,노변동화어린이집,053-791-8303,대구광역시 수성구 시지로 55,35.83950871,128.695168
대구광역시,수성구,고산2동,협동,씩씩한어린이집,053-791-6879,대구광역시 수성구 천을로 61-7,35.84561803,128.6974274
대구광역시,수성구,고산2동,직장,알파시티 공동직장 도담어린이집,053-795-1230,대구광역시 수성구 유니버시아드로 119,35.83407042,128.6844224
