시도,시군구,행정동,어린이집유형,어린이집명,전화번호,주소,위도,경도
대구광역시,중구,,국공립,제일풍경채어린이집,053-217-0771,대구광역시 중구 달성로26길 70,35.874780875,128.586659645
대구광역시,중구,남산1동,민간,효성해링턴어린이집,053-256-2005,대구광역시 중구 중앙대로66길 20,35.861337891,128.593175137
대구광역시,중구,남산2동,국공립,남산롯데센트럴어린이집,053-252-1277,대구광역시 중구 재마루길 77,35.863288154,128.584463249
대구광역시,중구,남산2동,국공립,남산이편한어린이집,053-256-2222,대구광역시 중구 달구벌대로 2020,35.865274118,128.584995053
대구광역시,중구,남산2동,법인・단체등,남산교회어린이집,053-253-0130,대구광역시 중구 관덕정길 16,35.865002666,128.590605076
대구광역시,중구,남산2동,민간,대구삼성어린이집,053-255-7851,대구광역시 중구 달구벌대로 2016-40,35.864484384,128.584276955
대구광역시,중구,남산2동,민간,리틀포레스트어린이집,053-427-5981,대구광역시 중구 중앙대로67길 11,35.863022957,128.591402134
대구광역시,중구,남산3동,사회복지법인,백합어린이집,053-256-6862,대구광역시 중구 남산로4길 111,35.862306229,128.585841238
대구광역시,중구,남산3동,민간,스타클래스어린이집,053-242-5511,대구광역시 중구 남산로 30,35.859178291,128.583375371
대구광역시,중구,남산4동,국공립,그린숲어린이집,053-426-7902,대구광역시 중구 달구벌대로 1950,35.861531388,128.577832703
대구광역시,중구,남산4동,국공립,꿈나무어린이집,053-252-0655,대구광역시 중구 남산로7길 35,35.858567484,128.580831928
대구광역시,중구,남산4동,국공립,남산자이하늘채어린이집,053-252-3456,대구광역시 중구 명덕로 33,35.860474747,128.575145069
대구광역시,중구,남산4동,국공립,남산화성어린이집,053-421-1101,대구광역시 중구 남산로7길 7,35.858648352,128.582325405
대구광역시,중구,남산4동,국공립,동그라미어린이집,053-959-7942,대구광역시 중구 달구벌대로 1960,35.862223968,128.578582042
대구광역시,중구,남산4동,국공립,청라힐스자이어린이집,053-255-2366,대구광역시 중구 남산로 73,35.862826668,128.582078244
대구광역시,중구,남산4동,민간,아이비어린이집,053-421-7978,대구광역시 중구 남산로3안길 20,35.860407922,128.577451915
대구광역시,중구,남산4동,가정,황실친환경어린이집,053-253-6673,대구광역시 중구 남산로13길 17,35.861534175,128.580959613
대구광역시,중구,대봉1동,국공립,센트로팰리스어린이집,053-254-3307,대구광역시 중구 대봉로 260,35.861760354,128.601144573
대구광역시,중구,대봉1동,국공립,태왕아름별어린이집,053-253-7977,대구광역시 중구 동덕로 55,35.859950305,128.603897388
대구광역시,중구,대봉1동,민간,창의나라어린이집,053-248-8845,대구광역시 중구 대봉로 228-9,35.859106113,128.601751465
대구광역시,중구,대봉2동,국공립,대봉더샵가온어린이집,053-252-0179,대구광역시 중구 대봉로43길 21,35.857062719,128.601102453
대구광역시,중구,대봉2동,국공립,대봉리비테르어린이집,053-201-8889,대구광역시 중구 대봉로43길 22,35.858098667,128.599809894
대구광역시,중구,대신동,국공립,대신e편한어린이집,053-423-5700,대구광역시 중구 달구벌대로 1943,35.863602293,128.576826855
대구광역시,중구,대신동,민간,밤비니어린이집,053-255-3237,대구광역시 중구 달구벌대로 1955,35.863873467,128.577714793
대구광역시,중구,대신동,가정,태왕아이사랑어린이집,053-215-7004,대구광역시 중구 달구벌대로 1975,35.864509267,128.579766215
대구광역시,중구,동인동,국공립,센트럴동인어린이집,053-254-1238,대구광역시 중구 국채보상로139길 40,35.870928631,128.608015995
대구광역시,중구,동인동,직장,경북대학교병원어린이집,053-261-1710,대구광역시 중구 국채보상로140길 24-7,35.867678506,128.605843052
대구광역시,중구,동인동,직장,대구광역시청어린이집,053-803-5638,대구광역시 중구 동덕로 182,35.870822525,128.604609595
대구광역시,중구,삼덕동,민간,삼덕청아람어린이집,053-252-5234,대구광역시 중구 삼덕동3가 달구벌대로447길 77,35.866344574,128.607024007
대구광역시,중구,성내2동,국공립,힐스테이트어린이집,053-255-5520,대구광역시 중구 태평로28길 13,35.874655270,128.593355652
대구광역시,중구,성내2동,가정,청라포레스트어린이집,053-213-3303,대구광역시 중구 달구벌대로 2021,35.866053363,128.584977369
대구광역시,중구,성내3동,국공립,달성파크어린이집,053-521-8011,대구광역시 중구 달성로 123,35.877550910,128.580306460
대구광역시,중구,성내3동,국공립,도원센트럴어린이집,053-427-7433,대구광역시 중구 태평로 50,35.876288681,128.583266911
대구광역시,중구,성내3동,민간,센트럴자이어린이집,053-252-1125,대구광역시 중구 서성로 99,35.875437908,128.587530821
