학교명,소재지지번주소,위도,경도
성명여자중학교,대구광역시 중구 동산동 206,35.86838328,128.584035
경북대학교사범대학부설초등학교,대구광역시 중구 봉산동 162,35.86358373,128.5980664
계성초등학교,대구광역시 중구 대신동 280-2,35.86566471,128.5811278
경북대학교사범대학부설중학교,대구광역시 중구 대봉동 60-19,35.8625154,128.6006135
대구제일중학교,대구광역시 중구 봉산동 230-1,35.86152514,128.5970111
신명고등학교,대구광역시 중구 동산동 206,35.86838328,128.584035
경구중학교,대구광역시 중구 남산동 2380-5,35.85851368,128.5835008
대구동덕초등학교,대구광역시 중구 삼덕동2가 327-1,35.864763,128.604677
경북대학교사범대학부설고등학교,대구광역시 중구 대봉동 60-19,35.8625154,128.6006135
대구삼덕초등학교,대구광역시 중구 삼덕동3가 316,35.86355823,128.6078444
대구남산초등학교,대구광역시 중구 남산동 122,35.86322075,128.5827674
대구동인초등학교,대구광역시 중구 동인동4가 388,35.86808439,128.6095062
대구초등학교,대구광역시 중구 봉산동 57,35.86403787,128.5953715
대구수창초등학교,대구광역시 중구 수창동 73,35.874292,128.5834453
대구명덕초등학교,대구광역시 중구 남산동 2113,35.85754073,128.5890267
경북공업고등학교,대구광역시 중구 남산동 2380-5,35.85851368,128.5835008
대구종로초등학교,대구광역시 중구 서문로1가 1-5,35.87249671,128.5897043
경북여자고등학교,대구광역시 중구 남산동 714-2,35.85842716,128.5922004
계성중학교,대구광역시 중구 대신동 277-1,35.8679358,128.5802499
