주소,위도,경도
대구광역시 서구 이현동 45-52,35.873059,128.532738
대구광역시 수성구 달구벌대로 2699,35.85409931,128.6565122
대구광역시 수성구 범물동 1290,35.818155,128.648829
대구광역시 수성구 신매동 79-2,35.834138,128.712215
대구광역시 군위군 군위읍 중앙길 12,36.22995969,128.5685402
대구광역시 달서구 달서대로 117,35.81624189,128.5038777
대구광역시 달서구 달서대로 117,35.81624189,128.5038777
대구광역시 달서구 대곡동 411,,
대구광역시 달서구 성서공단로 93,35.83536814,128.4924651
대구광역시 달성군 가창면 삼산리 360,,
대구광역시 달성군 다사읍 방천리 26-1,,
대구광역시 달성군 유가읍 테크노중앙대로 2길 45,35.67387743,128.4645452
대구광역시 달성군 하빈면 하빈남로 414,35.86265297,128.3925499
대구광역시 동구 경안로 700,35.86474172,128.714224
대구광역시 동구 대림로2길 8 ,35.87023264,128.7411752
대구광역시 동구 동호동 105-4,,
대구광역시 동구 방촌동 1114-2,,
대구광역시 동구 봉무동 126-2,,
대구광역시 북구 검단동 1393-46,,
대구광역시 북구 관음로 127,35.94290898,128.5415789
대구광역시 북구 읍내동 514,,
대구광역시 북구 학정동 451-1,,
