,EMD_CD,EMD_KOR_NM,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수
0,27110101,동인동1가,2,24.0,1.0,0.0,3.0,26.0,5.0,1.0,33.0,2.0,61.0,156.0
1,27110102,동인동2가,1,33.0,7.0,2.0,7.0,33.0,11.0,9.0,41.0,5.0,86.0,234.0
2,27110103,동인동3가,0,62.0,5.0,0.0,5.0,48.0,28.0,1.0,14.0,4.0,20.0,187.0
3,27110104,동인동4가,0,65.0,7.0,1.0,9.0,72.0,54.0,0.0,17.0,9.0,156.0,390.0
4,27110105,삼덕동1가,0,30.0,13.0,25.0,16.0,188.0,54.0,2.0,7.0,43.0,255.0,633.0
5,27110106,삼덕동2가,0,64.0,8.0,34.0,11.0,85.0,38.0,5.0,29.0,12.0,158.0,444.0
6,27110107,삼덕동3가,0,55.0,16.0,2.0,14.0,45.0,55.0,3.0,6.0,2.0,114.0,312.0
7,27110108,봉산동,0,73.0,40.0,24.0,11.0,225.0,95.0,7.0,21.0,10.0,204.0,710.0
8,27110109,장관동,0,2.0,1.0,0.0,0.0,6.0,3.0,3.0,0.0,4.0,17.0,36.0
9,27110110,상서동,0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,4.0,17.0
10,27110111,수동,0,5.0,5.0,2.0,1.0,18.0,9.0,0.0,7.0,2.0,22.0,71.0
11,27110112,덕산동,0,12.0,14.0,19.0,6.0,319.0,43.0,0.0,4.0,7.0,95.0,519.0
12,27110113,종로1가,0,43.0,16.0,1.0,4.0,34.0,15.0,15.0,20.0,3.0,74.0,225.0
13,27110114,종로2가,0,2.0,2.0,0.0,0.0,19.0,7.0,6.0,0.0,2.0,87.0,125.0
14,27110115,사일동,0,18.0,4.0,3.0,3.0,16.0,7.0,0.0,5.0,5.0,20.0,81.0
15,27110116,동일동,0,1.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,2.0,17.0,33.0
16,27110117,남일동,0,5.0,17.0,8.0,2.0,26.0,14.0,0.0,3.0,4.0,56.0,135.0
17,27110118,전동,0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,1.0,20.0,35.0
18,27110119,동성로3가,0,9.0,25.0,9.0,4.0,69.0,11.0,3.0,2.0,8.0,86.0,226.0
19,27110120,동문동,0,23.0,7.0,0.0,5.0,69.0,23.0,7.0,14.0,3.0,117.0,268.0
20,27110121,문화동,0,6.0,4.0,4.0,3.0,37.0,13.0,3.0,2.0,2.0,62.0,136.0
21,27110122,공평동,0,26.0,11.0,26.0,13.0,76.0,51.0,1.0,29.0,24.0,172.0,429.0
22,27110123,동성로2가,0,24.0,9.0,22.0,8.0,155.0,16.0,0.0,8.0,11.0,71.0,324.0
23,27110124,태평로1가,0,11.0,1.0,0.0,3.0,38.0,14.0,1.0,5.0,2.0,23.0,98.0
24,27110125,교동,0,5.0,3.0,0.0,3.0,141.0,15.0,1.0,4.0,0.0,36.0,208.0
25,27110126,용덕동,0,0.0,1.0,0.0,1.0,57.0,3.0,0.0,0.0,0.0,3.0,65.0
26,27110127,상덕동,0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,13.0
27,27110128,완전동,0,3.0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,17.0,42.0
28,27110129,도원동,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
29,27290116,도원동,1,20.0,37.0,7.0,17.0,132.0,81.0,0.0,7.0,49.0,238.0,588.0
30,27110130,수창동,0,1.0,3.0,1.0,8.0,21.0,4.0,3.0,3.0,0.0,27.0,71.0
31,27110131,태평로3가,2,4.0,1.0,1.0,0.0,13.0,7.0,0.0,0.0,0.0,7.0,33.0
32,27110132,인교동,0,4.0,0.0,0.0,0.0,29.0,14.0,3.0,1.0,2.0,12.0,65.0
33,27110133,서야동,0,4.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,2.0,18.0
34,27110134,서성로1가,0,2.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0,2.0,8.0,30.0
35,27110135,시장북로,0,3.0,3.0,1.0,1.0,12.0,9.0,3.0,0.0,0.0,8.0,40.0
36,27110136,하서동,0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,4.0,13.0
37,27110137,남성로,0,7.0,9.0,3.0,0.0,38.0,12.0,2.0,2.0,0.0,40.0,113.0
38,27110138,계산동1가,0,18.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,33.0
39,27110139,계산동2가,0,11.0,2.0,1.0,7.0,256.0,16.0,1.0,10.0,3.0,70.0,377.0
40,27110140,동산동,0,28.0,7.0,11.0,7.0,131.0,8.0,2.0,11.0,1.0,46.0,252.0
41,27110141,서문로2가,0,12.0,0.0,1.0,3.0,9.0,4.0,0.0,5.0,0.0,3.0,37.0
42,27110142,서성로2가,0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,4.0,13.0
