지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,입지선정지수
27260102,만촌동,대구광역시,수성구,만촌동,2206055,11226,9276.5,604,1345,69.405,24,1,8299.84,76.35,2216154.338,1610000,35.8663111,128.6399664,255.1815514,339.3886535,373.4424679,112.8103024,857.4928379,1195.33493,220,216,26,91,482,292,7,73,78,515,2000,-9249.610021
27260101,범어동,대구광역시,수성구,범어동,2206051,7737.666667,6510,372.3333333,856.3333333,40.57333333,12,1,18349.35,61.10666667,3241539.111,2522000,35.8555656,128.6220352,631.2799331,994.0873701,1172.663818,723.7802602,1222.830952,1458.982112,724,484,75,236,502,346,12,87,150,1089,3705,-8878.755439
27260118,신매동,대구광역시,수성구,고산1동,2206071,6862,5597,362,903,67.93,4,0,7936,78.2,2661754.762,1989000,35.8353571,128.7121375,470.4066033,559.9595206,993.425326,4144.643229,4659.83462,5621.833777,33,129,25,26,246,142,0,9,60,387,1057,-8155.04158
27260109,상동,대구광역시,수성구,상동,2206064,9313,7940,390,983,56.14,10,1,11048.87218,69.59,1818961.446,1635000,35.8321069,128.6154039,228.4524364,362.3548553,546.7071387,696.4604799,1164.494602,2035.233291,131,58,1,52,210,171,6,35,33,232,929,-7724.282497
27260103,수성동1가,대구광역시,수성구,수성1가동,2206058,8397,7225,305,867,31.06,0,0,29950,52.99,2685234.783,2428000,35.855,128.611,623.4660592,772.8243363,875.6513593,916.9371917,1204.871941,1432.407905,43,63,14,37,138,104,0,17,24,143,583,-7460.291261
27260108,중동,대구광역시,수성구,중동,2206063,10859,9211,366,1282,41.48,4,2,15665.93407,62.58,2108845.349,1734000,35.847374,128.6150346,434.4413553,545.0716329,660.5210739,1104.359897,1581.283987,1774.468547,106,31,13,31,164,126,5,39,31,180,726,-7371.415082
27260105,수성동3가,대구광역시,수성구,수성2·3가동,2206059,6313,5367,254,693,46.62,0,0,18151,65.4,3231846.154,2704500,35.8548528,128.618988,717.1755194,1005.915712,1120.189507,989.3614752,1326.628815,1461.016284,28,38,8,17,70,51,0,6,20,70,308,-7337.82686
27260104,수성동2가,대구광역시,수성구,수성2·3가동,2206059,6313,5367,254,693,46.62,0,0,18151,65.4,2699285.714,2327500,35.8548321,128.6151,929.0824373,957.2441956,1017.185664,1198.21854,1323.502479,1432.88608,26,27,14,12,96,44,0,9,12,137,377,-7291.61386
27260107,황금동,대구광역시,수성구,황금동,2206061,14006,11905,562,1540,31.35,6,0,9167.79,52.33,2016826.437,1635000,35.8439571,128.63815,1165.582009,1198.452069,1257.90342,441.9125468,1632.988407,2017.982685,127,111,17,65,238,198,12,35,53,385,1241,-7148.879373
27260119,욱수동,대구광역시,수성구,고산1동,2206071,6862,5597,362,903,67.93,0,0,2570,78.2,535012.1212,42100,35.812333,128.70285,2999.769005,3043.416402,3192.354586,6771.105798,6812.128676,7164.491582,6,10,3,4,18,16,1,4,10,45,117,-7027.83718
27260111,두산동,대구광역시,수성구,두산동,2206066,9770,8295,403,1073,32.88,4,0,7247.715736,51.55,3882605.538,2066000,35.8295333,128.6207125,481.8222233,624.2075049,744.3282078,1133.941692,1393.271552,2287.830593,111,50,2,61,247,166,20,41,68,621,1387,-6543.208023
27260106,수성동4가,대구광역시,수성구,수성4가동,2206060,7792,6740,258,794,28.74,0,0,21206,49.08,3058727.273,2570000,35.8635904,128.615825,1145.424429,1243.247965,1295.360171,580.6455199,899.0149976,991.2426673,40,50,19,26,104,76,0,9,37,215,576,-6486.115812
27260113,범물동,대구광역시,수성구,범물동,2206069,4383,3563,162,657,51.45,2,0,3556.24,67.26,1119397.143,1054000,35.8177917,128.6459625,624.4803175,869.4287931,1434.81823,2646.315814,3218.234793,3677.468771,56,52,12,23,256,85,1,27,27,197,736,-6060.19353
27260117,사월동,대구광역시,수성구,고산3동,2206073,5256,4126,213,917,48.79,2,0,7936,56.07,1369068.182,926600,35.8394,128.7193,335.196067,555.1583523,1178.443257,3529.497759,3998.917778,5377.980108,9,9,0,10,26,20,0,5,16,38,133,-5456.401673
27260115,매호동,대구광역시,수성구,고산3동,2206073,5256,4126,213,917,48.79,0,0,5140,56.07,1057758.696,407750,35.8507571,128.708675,1208.437772,1384.973778,1552.944844,2791.993414,3446.488963,4545.562903,24,55,2,18,98,76,0,12,16,186,487,-5325.107273
27260122,삼덕동,대구광역시,수성구,고산2동,2206072,10950,8865,362,1723,36.79,0,0,10503.125,43.33,657278.125,452100,35.8282,128.6675,2026.431353,2303.241632,2500.483201,3126.618983,4367.40059,4718.418722,6,3,0,0,4,2,0,2,1,5,23,-5123.630512
27260114,시지동,대구광역시,수성구,고산2동,2206072,10950,8865,362,1723,36.79,2,0,1085,43.33,2362518.75,1990000,35.84324,128.69265,60.28638495,766.3017682,1230.388888,4389.79305,4628.730391,4972.745191,50,45,7,43,142,85,1,19,31,182,605,-5080.287387
