EMD_NM,CHARGE_NM,ADDR,TEL,TYPE,위도,경도
대구 군위군,군위IC충전소,대구광역시 군위군 군위읍 금구리 671,054-383-7783,자동차+13kg용기,36.213992,128.564662
대구 군위군,KH에너지(주)직영군위영천충전소(하. 영천방향),대구광역시 군위군 산성면 치산효령로 865-43,054-383-9014,자동차충전,36.07968305,128.7026968
대구 군위군,(주)부자군위(상)충전소,대구광역시 군위군 군위읍 경북대로 4084,054-383-6114,자동차충전,36.2019159,128.5638633
대구 군위군,(주)부자군위(하)충전소,대구광역시 군위군 군위읍 경북대로 4082,054-383-6117,자동차충전,36.2019159,128.5638633
대구 군위군,(주)대흥엘피지,대구광역시 군위군 군위읍 군청로 127,054-383-9528,자동차충전,36.2291623,128.5690948
대구 군위군,KH에너지(주)직영삼국유사군위충전소(상주방향),대구광역시 군위군 부계면 치산효령로 989-23,054-383-8842,자동차충전,36.10204897,128.6621915
대구 남구,(주)경북가스남부충전소,대구광역시 남구 성당로 22,053-624-4834,자동차충전,35.83973195,128.5594932
대구 달서구,대구개인택시운송사업조합제2충전소,대구광역시 달서구 와룡로 159,053-559-0102,자동차충전,35.84338914,128.5370581
대구 달서구,구상엘피지충전소,대구광역시 달서구 성서4차첨단로 184,053-581-7700,자동차충전,35.82378227,128.5120805
대구 달서구,남대구IC충전소,대구광역시 달서구 성서공단로 319,053-592-8600,자동차+13kg용기,35.83695648,128.5266494
대구 달서구,(주)이엔아이,대구광역시 달서구 두류공원로 127,053-656-8017,자동차충전,35.8522327,128.5623293
대구 달서구,대구LPG충전소,대구광역시 달서구 송현로 55,053-632-3381,용기+자동차+13kg용기,35.83003896,128.5446006
대구 달서구,대기에너지(주),대구광역시 달서구 달구벌대로 1631,053-553-8800,자동차충전,35.8560621,128.55455
대구 달서구,대천에너지,대구광역시 달서구 달서대로 109,053-581-5050,자동차충전,35.81796441,128.5035029
대구 달서구,대성산업(주)구마충전소,대구광역시 달서구 구마로 67,053-521-9537,자동차충전,35.83735322,128.5337794
대구 달서구,(주)화경 세영충전소,대구광역시 달서구 성서공단북로69길 33,053-581-6145,용기+탱크+13kg용기,35.84636764,128.511102
대구 달서구,(주)한성엘피지,대구광역시 달서구 성서공단로 346,053-593-3111,자동차충전,35.83695648,128.5266494
대구 달서구,계명LPG충전소,대구광역시 달서구 달구벌대로 1250,053-584-5311,자동차충전,35.8560621,128.55455
대구 달성군,그린에너지프라자,대구광역시 달성군 논공읍 비슬로 1705,053-616-8008,자동차충전,35.76772063,128.4088927
대구 달성군,가창엘피지충전소,대구광역시 달성군 가창면 가창로199길 19,053-768-1990,자동차충전,35.79127958,128.628312
대구 달성군,(주)한성엘피지옥포충전소,대구 달서구 성서공단로 346,053-617-8010,자동차충전,35.83695648,128.5266494
대구 달성군,문산엘피지충전소,대구광역시 달성군 다사읍 달구벌대로 432,053-584-7089,자동차충전,35.85413504,128.4697651
대구 달성군,(주)한라석유논공(대구)충전소,대구광역시 달성군 논공읍 광주대구고속도로 170,070-430-0630,자동차충전,35.76846806,128.4219307
대구 달성군,봄봄봄LPG충전소,대구광역시 달성군 구지면 달성2차로 161,053-615-5188,자동차충전,35.63985103,128.4280489
대구 달성군,현풍(하)LPG충전소 풀무원식품(주),대구광역시 달성군 현풍읍 성하길,053-614-2437,자동차충전,35.702675,128.436194
대구 달성군,홍토가스충전소,대구광역시 달성군 논공읍 비슬로 1065,053-616-3800,자동차충전,35.76772063,128.4088927
대구 달성군,(주)한라석유 논공(광주)충전소,대구광역시 달성군 논공읍 광주대구고속도로 169,070-430-0610,자동차충전,35.76846806,128.4219307
대구 달성군,가람충전소,대구광역시 달성군 현풍읍 비슬로 799,053-616-5183,자동차충전,35.6839652,128.4467218
대구 달성군,달성엘피지충전소,대구광역시 달성군 현풍읍 논공로 70,053-616-0777,자동차충전,35.7164468,128.4470432
대구 동구,신대한LPG제1,대구광역시 동구 동부로 89,053-752-8411,자동차충전,35.87656225,128.6261589
대구 동구,(주)경북가스,대구광역시 동구 효목동 291-4,053-751-7777,용기+자동차+13kg용기,35.8814761,128.6437167
대구 동구,동도엘피지충전소,대구광역시 동구 안심로 34,053-962-1212,자동차충전,35.87041719,128.7279682
대구 동구,동원LPG충전소,대구광역시 동구 혁신대로 386,053-963-6000,자동차충전,35.87500968,128.7520861
대구 동구,율하LPG충전소,대구광역시 동구 안심로 24,053-956-3700,자동차충전,35.87041719,128.7279682
대구 동구,주식회사이엔아이 아주LPG충전소,대구광역시 동구 공항로 149,053-985-9800,자동차충전,35.89668384,128.6401025
대구 동구,케이케이(주)달구벌충전소,대구광역시 동구 동촌로 205,053-983-6051,자동차충전,35.8840956,128.6586616
대구 동구,팔공산엘피지충전소,대구광역시 동구 팔공산로 279,053-986-8030,자동차충전,35.96178084,128.6964009
대구 북구,대구개인택시운송조합 제5충전소,대구광역시 북구 팔달로 67,053-327-7710,자동차충전,35.8885551,128.5737388
대구 북구,읍내IC충전소,대구광역시 북구 칠곡중앙대로 736,053-321-0095,자동차충전,35.92028704,128.5465105
대구 북구,대구개인택시조합충전소,대구광역시 북구 복현동 400-1,053-382-6300,자동차충전,35.8968175,128.6194541
대구 북구,(주)팔달에너지,대구광역시 북구 칠곡중앙대로 132,053-314-4001,자동차충전,35.94989837,128.5535465
대구 북구,서변엘피지충전소,대구광역시 북구 호국로 129,053-939-1991,자동차충전,35.91195379,128.599554
대구 북구,북대구LPG충전소,대구광역시 북구 동북로 3,053-384-5177,자동차충전,35.8996117,128.6093296
대구 북구,(주)칠곡아이씨충전소,대구광역시 북구 매천로 307,053-327-2277,용기+자동차+탱크+13kg용기+부탄캔,35.91839143,128.5418215
대구 북구,경원LPG충전소,대구광역시 북구 사수로 432,053-312-2552,자동차+탱크,35.89772993,128.5245602
대구 북구,(주)대평제2LPG충전소,대구광역시 북구 동북로 212,053-953-9000,자동차충전,35.89078291,128.6258062
대구 북구,남경LPG충전소,대구광역시 북구 사수로 406,053-311-0311,자동차충전,35.89772993,128.5245602
대구 북구,(주)한신가스,대구광역시 북구 노원로 229,053-354-6601,용기+자동차+탱크+13kg용기,35.89069688,128.5649215
대구 북구,대성산업(주)대구가스부,대구광역시 북구 침산로 60,053-352-7081,용기+자동차+13kg용기,35.90188217,128.5887348
대구 서구,신대한LPG,대구광역시 서구 서대구로 121,053-566-2609,자동차충전,35.87082172,128.5540387
대구 서구,청구엘피지충전소,대구광역시 서구 국채보상로 92,053-552-1123,자동차충전,35.86840905,128.5412179
대구 서구,서대구IC충전소,대구광역시 서구 북비산로 48,053-566-0009,자동차충전,35.8784911,128.5373903
대구 서구,대기에너지(주),대구광역시 서구 국채보상로 25,053-552-3000,자동차충전,35.86891205,128.546366
대구 서구,화성가스(주),대구광역시 서구 와룡로 346,053-565-0223,용기+자동차+탱크+13kg용기,35.86342895,128.5379131
대구 수성구,대구개인택시운송사업조합제1충전소,대구광역시 수성구 수성로 286,053-763-0153,자동차충전,35.83773457,128.6119898
대구 수성구,(주)동일가스,대구광역시 수성구 청수로 1,053-762-8855,자동차충전,35.84028985,128.6362419
대구 수성구,대공원충전소(주),대구광역시 수성구 동대구로 255,053-763-6022,자동차충전,35.8666609,128.6270517
대구 수성구,(주)삼원에너지,대구광역시 수성구 달구벌대로 2780,053-759-7700,자동차충전,35.8599233,128.6279979
대구 수성구,동대구가스충전소,대구광역시 수성구 국채보상로 913,053-755-0401,자동차충전,35.86630054,128.6387174
대구 수성구,상동엘피지충전소,대구광역시 수성구 신천동로 51,053-764-5050,자동차충전,35.82969334,128.6081645
대구 중구,SK엔크린 조양주유소,대구광역시 중구 달구벌대로 2194,053-427-5151,,35.86138596,128.6045567
대구 중구,SK엔크린 KK직영 중앙주유소,대구광역시 중구 국채보상로 642,053-422-8010,,35.8679467,128.6122627
대구 중구,SK엔크린 KK 유성셀프주유소,대구광역시 중구 동덕로 6,053-424-5775,,35.86472662,128.6038729
대구 중구,SK엔크린 행운셀프주유소,대구광역시 중구 태평로 105,053-421-5145,,35.87334105,128.6087761
