사업장명,소재지지번주소,소재지도로명주소,소재지면적,전화번호,데이터기준일,위도,경도
(주)에스제이에너지금호강주유소,대구광역시 동구 불로동 972-1번지 ,대구광역시 동구 공항로 136,1677,053-984-5500,2024-05-24,35.892256,128.6434045
(주)한대동부주유소,"대구광역시 동구 용계동 916-1번지 외 2필지(916-4, 915-1) ",대구광역시 동구 동촌로 445,3766,053-964-2211,2024-05-24,35.89010847,128.6485845
HD현대오일뱅크(주)직영 대구공항셀프주유소,대구광역시 동구 지저동 678-6번지 ,대구광역시 동구 공항로 259,923,053-984-6555,2024-05-24,35.90052072,128.6291923
HD현대오일뱅크(주)직영 동진주유소,대구광역시 동구 용계동 1028-1번지 ,대구광역시 동구 동촌로 355,2013,053-984-7700,2024-05-24,35.88380224,128.6606612
SK동호주유소,대구광역시 동구 동호동 364번지 ,대구광역시 동구 안심로 346,1088,053-943-0077,2024-05-24,35.87037105,128.7268532
강변주유소,대구광역시 동구 검사동 1024-19번지 ,대구광역시 동구 해동로 171,407,053-981-2806,2024-05-24,35.88375549,128.6546507
경대정문주유소,대구광역시 동구 신암동 704-7.10.11.13번지 ,대구광역시 동구 경대로 54,316,053-954-6637,2024-05-24,35.89161023,128.6222077
계명Ⅱ주유소,대구광역시 동구 신서동 1138-1번지 ,대구광역시 동구 이노밸리로 277,1167,053-965-5152,2024-05-24,35.87835233,128.7259755
국가대표제2주유소,대구광역시 동구 방촌동 1084-700번지 ,대구광역시 동구 화랑로 377,1002,053-986-5100,2024-05-24,35.87604482,128.6574328
국제주유소,대구광역시 동구 봉무동 143-2번지 ,대구광역시 동구 팔공로 376,1161,053-986-5152,2024-05-24,35.95348145,128.692118
극동주유소,"대구광역시 동구 신천동 283-2,19번지 ",대구광역시 동구 동부로 80,2112,053-752-2220,2024-05-24,35.87901666,128.6348266
글로벌제2주유소,대구광역시 동구 지묘동 275번지 ,대구광역시 동구 팔공로 473,907,053-986-5104,2024-05-24,35.95348145,128.692118
대성산업(주)강촌대성주유소,대구광역시 동구 용계동 437-56번지 외 1필지(437-45) ,대구광역시 동구 화랑로 481,1869,053-985-4222,2024-05-24,35.87713556,128.668703
대원석유(주)대신주유소,"대구광역시 동구 신서동 513-18, 516-11,516-25,762-3 ",대구광역시 동구 안심로 421,1670,053-963-2229,2024-05-24,35.87104845,128.6912221
대원주유소,대구광역시 동구 효목동 136-11번지 ,대구광역시 동구 효동로 66,640,053-942-5000,2024-05-24,35.88374604,128.6440626
대한주유소,"대구광역시 동구 봉무동 941-2번지 1033-22,1358-14 ",대구광역시 동구 팔공로 329,662,053-984-5551,2024-05-24,35.95348145,128.692118
덕산주유소,대구광역시 동구 덕곡동 205-5번지 ,대구광역시 동구 팔공산로 283,525,053-981-5158,2024-05-24,35.96710154,128.6988429
동대구고속주유소,대구광역시 동구 용계동 1034-1번지 ,대구광역시 동구 동촌로 358,664,053-984-9991,2024-05-24,35.88380224,128.6606612
동대구주유소,대구광역시 동구 괴전동 217-7번지,대구광역시 동구 안심로 503,451,053-961-5125,2024-05-24,35.87104845,128.6912221
동대구터미널주유소,대구광역시 동구 용계동 662-1번지 ,대구광역시 동구 화랑로 584,1389,053-965-5759,2024-05-24,35.87604482,128.6574328
동도주유소,대구광역시 동구 용계동 763번지 ,대구광역시 동구 안심로 30,1443,053-965-9605,2024-05-24,35.87104845,128.6912221
동북주유소,대구광역시 동구 지묘동 688-1번지 ,대구광역시 동구 파계로 220,666,053-981-6332,2024-05-24,35.9751577,128.629933
동원주유소,대구광역시 동구 봉무동 563-4번지 563-5 ,대구광역시 동구 팔공로 194,795,053-983-1221,2024-05-24,35.95348145,128.692118
동촌self주유소,"대구광역시 동구 검사동 990-25번지 994-50,51 ",대구광역시 동구 동촌로 86,865,053-984-8288,2024-05-24,35.88380224,128.6606612
동화주유소,대구광역시 동구 용수동 50-1번지 ,대구광역시 동구 팔공산로 1184,937,053-983-5181,2024-05-24,35.96710154,128.6988429
두바이주유소,대구광역시 동구 대림동 560번지 ,대구광역시 동구 안심로 586,1507,053-963-5104,2024-05-24,35.87104845,128.6912221
만남주유소,대구광역시 동구 중대동 339-1번지 ,대구광역시 동구 파계로 392,665,053-982-8824,2024-05-24,35.9751577,128.629933
문화주유소,대구광역시 동구 신천동 314-4번지,대구광역시 동구 동부로30길 90,1081,053-751-2550,2024-05-24,35.8683764,128.6284447
반야월주유소,"대구광역시 동구 동호동 1,3각산동939-2,995-6번지 ",대구광역시 동구 반야월로 199,785,053-962-0120,2024-05-24,35.87164615,128.7291335
방촌주유소,"대구광역시 동구 방촌동 1114-1번지 1114-2,3,4 ",대구광역시 동구 동촌로 320,1093,053-985-5599,2024-05-24,35.88380224,128.6606612
삼원주유소,"대구광역시 동구 지저동 667-4, 666-4. 6번지 ",대구광역시 동구 공항로 241,1003,053-982-5154,2024-05-24,35.90052072,128.6291923
송정주유소,대구광역시 동구 괴전동 208-1번지 ,대구광역시 동구 안심로 483,870,053-965-3336,2024-05-24,35.87104845,128.6912221
신암로주유소,대구광역시 동구 신암동 821-24번지 ,대구광역시 동구 신암로 117,1487,053-953-5144,2024-05-24,35.87733185,128.6075185
안심주유소,"대구광역시 동구 괴전동 242-2, 245-4.8번지 ",대구광역시 동구 안심로 484,1447,053-962-5052,2024-05-24,35.87104845,128.6912221
우성주유소,"대구광역시 동구 서호동 139-1, 129-4, 5번지 ",대구광역시 동구 안심로 244,2713,053-962-8989,2024-05-24,35.87104845,128.6912221
율하주유소,"대구광역시 동구 율하동 133-2,25번지 ",대구광역시 동구 반야월로 104,1139,053-962-0317,2024-05-24,35.87164615,128.7291335
일호self주유소,대구광역시 동구 효목2동 525-2번지,대구광역시 동구 화랑로 103,593,053-751-7050,2024-05-24,35.87604482,128.6574328
㈜남해토탈 본점주유소,대구광역시 동구 방촌동 1006-3번지 ,대구광역시 동구 동촌로 183-4,1814,053-981-8574,2024-05-24,35.89010847,128.6485845
㈜미니에너지 직영주유소,"대구광역시 동구 용계동 447-4번지 447-6,448-4. ",대구광역시 동구 화랑로 484,999,053-963-0051,2024-05-24,35.87604482,128.6323978
주식회사 에이치씨대하 해안주유소,대구광역시 동구 불로동 1158-14번지 ,대구광역시 동구 팔공로 157,1017,053-985-6001,2024-05-24,35.94498275,128.6454861
㈜에이치씨대하 연경제2주유소,대구광역시 동구 지묘동 1371,대구광역시 동구 동화천로 391,2247,053-981-3358,2024-05-24,35.93589307,128.6340656
지성주유소,대구광역시 동구 검사동 957-9번지,대구광역시 동구 동촌로 155,771,053-985-7708,2024-05-24,35.8840956,128.6586616
지에스칼텍스㈜ 대구혁신도시주유소,대구광역시 동구 율암동 1131번지,대구광역시 동구 혁신대로 104,1722,053-963-9160,2024-05-24,35.87500968,128.7520861
채움셀프주유소,대구광역시 동구 지묘동 647-1번지 ,대구광역시 동구 파계로 308,665,053-559-5151,2024-05-24,35.9751577,128.629933
팔공김치주유소,"대구광역시 동구 방촌동 857-60,61번지 ",대구광역시 동구 동촌로 291-4,1643,053-983-8713,2024-05-24,35.8840956,128.6586616
팔공산(IC)주유소,"대구광역시 동구 지저동 662-17번지 662-44, 684-14, 684-16 ",대구광역시 동구 공항로 247,450,053-982-0934,2024-05-24,35.89668384,128.6401025
팔공산IC제2주유소,"대구광역시 동구 지저동 684-6번지 ,7호 ",대구광역시 동구 공항로 254,954,053-981-8484,2024-05-24,35.89668384,128.6401025
효동로주유소,대구광역시 동구 효목동 137-49번지 ,대구광역시 동구 효동로 77,635,053-944-4567,2024-05-24,35.8861425,128.6412574
효목주유소,"대구광역시 동구 효목동 289-2, -7번지 ",대구광역시 동구 동부로 211,1028,053-745-3900,2024-05-24,35.87656225,128.6261589
