사업구분,상호,영업소소재지(도로명),영업소소재지(지번),영업소전화번호,기준일,위도,경도,주소
서구,화성제일주유소,대구광역시 서구 국채보상로 355-1 (비산동),414,053-523-5100,2024-06-07,35.872448651,128.569937055,대구광역시 서구 국채보상로 355-1 
서구,미리내주유소,대구광역시 서구 새방로 101 (상리동),1118,053-566-5182,2024-06-07,35.865699435,128.527349212,대구광역시 서구 새방로 101 
서구,아름다운주유소,대구광역시 서구 달서로 67 (비산동),706,053-557-0900,2024-06-07,35.868190322,128.570725871,대구광역시 서구 달서로 67 
서구,새방골주유소,대구광역시 서구 국채보상로 43 (이현동),686,053-573-5511,2024-06-07,35.868834338,128.535850607,대구광역시 서구 국채보상로 43 
서구,대영셀프주유소,대구광역시 서구 팔달로 78 (비산동),706,053-357-0089,2024-06-07,35.890009482,128.558413334,대구광역시 서구 팔달로 78 
서구,대원석유(주)이현대원 주유소,대구광역시 서구 북비산로 107 (이현동),712,053-525-5182,2024-06-07,35.878861933,128.544846309,대구광역시 서구 북비산로 107 
서구,서대구터미널주유소,대구광역시 서구 북비산로 49 (이현동),730,053-527-5151,2024-06-07,35.878782295,128.538348587,대구광역시 서구 북비산로 49 
서구,서대구IC주유소,대구광역시 서구 북비산로 48 (이현동),1477,053-566-0009,2024-06-07,35.878191262,128.538109011,대구광역시 서구 북비산로 48 
서구,(주)기분좋은주유소,대구광역시 서구 와룡로 420 (이현동),1407,053-563-2222,2024-06-07,35.870137251,128.538331210,대구광역시 서구 와룡로 420 
서구,가나주유소,대구광역시 서구 와룡로 358 (중리동),1298,053-565-5770,2024-06-07,35.864415291,128.537875621,대구광역시 서구 와룡로 358 
서구,조광주유소,대구광역시 서구 북비산로 36 (이현동),729,053-552-3900,2024-06-07,35.878246712,128.536962189,대구광역시 서구 북비산로 36 
서구,평리동양주유소,대구광역시 서구 북비산로 241 (평리동),688,053-525-5995,2024-06-07,35.879526481,128.559722777,대구광역시 서구 북비산로 241 
