사업구분,상호,영업소소재지(도로명),영업소소재지(지번),영업소전화번호,기준일,lati,longi
일반판매소,SK수성대경대흥석유,대구광역시 수성구 수성로12길 68-14,대구광역시 수성구 상동  339 번지2 호 ,053-767-7323,2024-09-13,35.83269576,128.6129811
일반판매소,한솔석유,대구광역시 수성구 국채보상로 1026,대구광역시 수성구 만촌동  965 번지1 호 ,053-742-5151,2024-09-13,35.86589853,128.642746
일반판매소,수산석유,대구광역시 수성구 동대구로29길 54-41,대구광역시 수성구 황금동  868 번지7 호 ,053-756-2925,2024-09-13,35.84240684,128.62069
일반판매소,만촌하나석유,대구광역시 수성구 국채보상로192길 11,대구광역시 수성구 범어동  428 번지3 호14 통2 반 ,053-741-2017,2024-09-13,35.86685043,128.6355593
일반판매소,자연에너지,대구광역시 수성구 희망로19길 6,대구광역시 수성구 중동  537 번지16 호 ,053-762-5510,2024-09-13,35.84745834,128.6102266
일반판매소,파동에너지,대구광역시 수성구 파동로38길 45,대구광역시 수성구 파동  110 번지136 호 ,053-252-4089,2024-09-13,35.81924691,128.6145886
일반판매소,금호석유,대구광역시 수성구 국채보상로192길 14,대구광역시 수성구 범어동  435 번지22 호 ,053-745-8809,2024-09-13,35.86675176,128.6353103
일반판매소,삼우에너지,대구광역시 수성구 범어로32길 10,대구광역시 수성구 범어동  396 번지3 호 ,080-080-3009,2024-09-13,35.86447103,128.6358305
일반판매소,부강에너지,대구광역시 수성구 교학로16길 4,대구광역시 수성구 만촌동  876 번지37 호 ,053-752-5658,2024-09-13,35.84950151,128.6506098
일반판매소,대림석유,대구광역시 수성구 범안로2길 3-9,대구광역시 수성구 범물동  1362 번지19 호 ,053-741-8025,2024-09-13,35.81688095,128.6391434
일반판매소,극동석유,대구광역시 수성구 교학로11길 43-3,대구광역시 수성구 만촌동  869 번지28 호 ,053-745-0444,2024-09-13,35.8507735,128.6544531
주유소,수성현대셀프주유소,대구광역시 수성구 동대구로 74,대구광역시 수성구 지산동  997 번지2 호 ,053-767-5142,2024-09-13,35.83671666,128.6243587
주유소,에스제이주유소,대구광역시 수성구 달구벌대로 2650,"대구광역시 수성구 만촌동  854 번지4 호,7호 ",053-751-5151,2024-09-13,35.85557489,128.6511927
주유소,지에스칼텍스(주) 삼보주유소,대구광역시 수성구 무학로 61,"대구광역시 수성구 상동  409 번지 2호,3호,7호",053-764-3551,2024-09-13,35.82997073,128.6154072
주유소,경북광유(주)중앙2주유소,대구광역시 수성구 화랑로 138 ,"대구광역시 수성구 만촌동  1330 번지4 호, 42호, 43호, 44호",053-745-0049,2024-09-13,35.87411776,128.6416617
주유소,신세계주유소,대구광역시 수성구 파동로 159 ,"대구광역시 수성구 파동  27 번지33 호외 27-314번지, 581-158번지 ",053-763-7894,2024-09-13,35.81731228,128.6134003
주유소,메트로팔레스주유소,대구광역시 수성구 화랑로 20,대구광역시 수성구 만촌동  414 번지18 호14 통6 반 ,053-754-1001,2024-09-13,35.86819975,128.6314222
주유소,지에스칼텍스(주)황금캐슬주유소,대구광역시 수성구 청수로 172 ,대구광역시 수성구 지산동  932 번지외 1필지(933-1번지) ,053-765-7100,2024-09-13,35.83889281,128.6268466
주유소,그린주유소,대구광역시 수성구 달구벌대로 2899,대구광역시 수성구 연호동  154 번지94 호 ,053-792-0891,2024-09-13,35.84524755,128.6755467
주유소,문화주유소,대구광역시 수성구 청호로 93,"대구광역시 수성구 지산동  103 번지3 호,103번지 ",053-782-3300,2024-09-13,35.82629194,128.6442098
주유소,지에스칼텍스(주)화남주유소,대구광역시 수성구 달구벌대로 3063,대구광역시 수성구 시지동  170 번지5 호 ,053-791-8900,2024-09-13,35.84335116,128.6919968
주유소,태영주유소,대구광역시 수성구 국채보상로 964,대구광역시 수성구 범어동  428 번지4 호428-13번지 ,053-741-3059,2024-09-13,35.86695742,128.6360548
주유소,샛별주유소,대구광역시 수성구 무열로 73,대구광역시 수성구 만촌동  994 번지40 호17 통5 반 ,053-742-9666,2024-09-13,35.86505043,128.6491284
주유소,수성착한주유소,대구광역시 수성구 신천동로 85 ,대구광역시 수성구 상동  208 번지외6필지 ,053-768-5100,2024-09-13,35.83256962,128.6070726
주유소,한일주유소,대구광역시 수성구 청수로 162,대구광역시 수성구 지산동  942 번지 ,053-768-2654,2024-09-13,35.83913892,128.6256145
주유소,구도일주유소 무열로,대구광역시 수성구 무열로 181 ,대구광역시 수성구 만촌동  617 번지14 호 ,053-754-5915,2024-09-13,35.87410033,128.6461281
주유소,하나주유소,대구광역시 수성구 달구벌대로 3299 ,대구광역시 수성구 사월동  411 번지5 호외 1필지(411-8번지) ,053-795-1034,2024-09-13,35.8371124,128.7168768
주유소,버디클럽오일뱅크,대구광역시 수성구 무학로 12 ,대구광역시 수성구 상동  611-8.13.14.17.18 ,053-768-2600,2024-09-13,35.82882505,128.6098286
주유소,흥구동신주유소,대구광역시 수성구 청수로 94,대구광역시 수성구 두산동  8 번지 ,053-768-8383,2024-09-13,35.83996389,128.6184089
주유소,지에스칼텍스(주)황금기름창고주유소,대구광역시 수성구 청수로 89,"대구광역시 수성구 황금동  887 번지1 호,5호 ",053-766-5151,2024-09-13,35.84069424,128.6180776
주유소,한결주유소,대구광역시 수성구 지범로 50 ,대구광역시 수성구 두산동  740 번지9 호740-13번지 외 총2필지 ,053-783-6886,2024-09-13,35.82608451,128.6259563
주유소,(주)담티주유소,대구광역시 수성구 달구벌대로 2689 ,"대구광역시 수성구 만촌동  754 번지2 호외2필지(754번지4호,1250번지1호) ",053-745-5189,2024-09-13,35.85442965,128.6556238
주유소,파동주유소,대구광역시 수성구 파동로 71,대구광역시 수성구 파동  506 번지4 호506-7번지 504-4번지 ,053-768-8182,2024-09-13,35.81049691,128.618411
주유소,대림주유소,대구광역시 수성구 용학로 244,대구광역시 수성구 지산동  1205 번지3 호 ,053-781-5151,2024-09-13,35.82015421,128.6349693
주유소,사랑가득주유소,대구광역시 수성구 동대구로 221 ,대구광역시 수성구 황금동  670 번지1 호 ,053-767-1010,2024-09-13,35.85026823,128.6245846
주유소,가든주유소,대구광역시 수성구 청호로 417,대구광역시 수성구 범어동  97 번지11 호 ,053-741-5152,2024-09-13,35.8545423,128.6390698
주유소,노변주유소,대구광역시 수성구 달구벌대로 3142 ,"대구광역시 수성구 노변동  4 번지시지동390-11, 시지동390-166 ",053-791-5493,2024-09-13,35.84158394,128.700436
주유소,기분좋은주유소,대구광역시 수성구 희망로 101-1,대구광역시 수성구 중동  537 번지21 호 ,053-767-6051,2024-09-13,35.84732948,128.6100618
주유소,구도일주유소 수성,대구광역시 수성구 달구벌대로 2457,대구광역시 수성구 범어동  165 번지17 호 ,053-752-4071,2024-09-13,35.85922727,128.6316111
주유소,수성주유소,대구광역시 수성구 수성로 1,"대구광역시 수성구 상동  623 번지2 호,623-10번지 ",053-764-3030,2024-09-13,35.82552904,128.6097294
주유소,대한주유소,대구광역시 수성구 달구벌대로 3322,대구광역시 수성구 신매동  10 번지40 호4 통1 반 ,053-814-0088,2024-09-13,35.8359295,128.7190532
주유소,한국광유(주)남부주유소,대구광역시 수성구 달구벌대로 2626,대구광역시 수성구 만촌동  853 번지 ,053-754-1127,2024-09-13,35.85678974,128.6492836
주유소,흥구석유(주)만촌주유소,대구광역시 수성구 화랑로 170 ,대구광역시 수성구 만촌동  1331 번지13 호1331-14호 ,053-743-3514,2024-09-13,35.87587568,128.6446309
주유소,대성산업(주)대경주유소,대구광역시 수성구 달구벌대로 3219,"대구광역시 수성구 신매동  365 번지1 호,6호 ",053-792-0612,2024-09-13,35.83986702,128.7088608
주유소,한국광유(주)청기와 주유소,대구광역시 수성구 화랑로 222,대구광역시 수성구 만촌동  132 번지3 호 ,053-941-4422,2024-09-13,35.87782954,128.6494058
