Column1,주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,행정동
0,(주)태산이앤엘 양지셀프주유소,대구광역시,북구,대구광역시 북구 관음로 211 (읍내동),,읍내동
1,천지주유소,대구광역시,북구,대구광역시 북구 사수로 369 (금호동),,금호동
2,(주)에이치씨대하에너지 연경주유소,대구광역시,북구,대구광역시 북구 동화천로 207 (연경동),,연경동
3,미니주유소,대구광역시,북구,대구광역시 북구 침산남로 224 (침산동),,침산동
4,에이치디현대오일뱅크(주)직영 금호셀프주유소,대구광역시,북구,대구광역시 북구 사수로 436 (금호동),,금호동
5,패밀리주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 146 (태전동),,태전동
6,화성제2주유소,대구광역시,북구,대구광역시 북구 사수로 523 (팔달동),,팔달동
7,산동주유소,대구광역시,북구,대구광역시 북구 노원로 28 (노원동3가),,노원동3가
8,대구주선합동터미널주유소,대구광역시,북구,"대구광역시 북구 서재로 540 (금호동,외 1필지(서구 상리동 649-12))",,금호동
9,동로주유소,대구광역시,북구,대구광역시 북구 신천동로 714 (대현동),,대현동
10,한국광유(주)칠곡매천주유소,대구광역시,북구,대구광역시 북구 매천로 149 (매천동),,매천동
11,덕영주유소,대구광역시,북구,대구광역시 북구 매천로 290 (태전동),,태전동
12,오일월드주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 25 (팔달동,외1필지(524-81))",,팔달동
13,SK에너지(주) 칠곡IC주유소,대구광역시,북구,대구광역시 북구 관음로 141 (관음동),,관음동
14,(주)에너지영신,대구광역시,북구,대구광역시 북구 호국로 729 (학정동),,학정동
15,칠곡중앙대로 주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 120 (매천동,외 2필지(269-10, 269-1))",,매천동
16,칠곡제일주유소,대구광역시,북구,대구광역시 북구 구리로 161 (국우동),,국우동
17,(주)금강주유소,대구광역시,북구,대구광역시 북구 대학로 45 (산격동),,산격동
18,동서변주유소,대구광역시,북구,대구광역시 북구 호국로 141 (서변동),,서변동
19,구도일주유소 대구,대구광역시,북구,대구광역시 북구 매천로 153 (매천동),,매천동
20,까치주유소,대구광역시,북구,대구광역시 북구 호국로 322 (서변동),,서변동
21,소원주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 641 (읍내동),,읍내동
22,SK에너지(주)거산주유소,대구광역시,북구,대구광역시 북구 호국로 303 (서변동),,서변동
23,정다운주유소,대구광역시,북구,대구광역시 북구 구암로 232 (구암동),,구암동
24,(주)동천주유소,대구광역시,북구,대구광역시 북구 팔거천동로 197 (동천동),,동천동
25,지에스칼텍스(주)구암주유소,대구광역시,북구,대구광역시 북구 구암로 340 (구암동),,구암동
26,리더스셀프주유소,대구광역시,북구,대구광역시 북구 호국로 814 (학정동),,학정동
27,대성산업(주)복현대성주유소,대구광역시,북구,대구광역시 북구 검단로 12 (복현동),,복현동
28,에이치디현대오일뱅크(주)직영대구현대주유소,대구광역시,북구,대구광역시 북구 유통단지로13길 38 (산격동),,산격동
29,무지개주유소,대구광역시,북구,대구광역시 북구 연암로 198 (산격동),,산격동
30,(주)북대구IC주유소,대구광역시,북구,대구광역시 북구 동북로 113 (산격동),,산격동
31,SK에너지(주)맘모스주유소,대구광역시,북구,대구광역시 북구 동북로 21 (산격동),,산격동
32,선진주유소,대구광역시,북구,대구광역시 북구 연암로 119 (산격동),,산격동
33,에이치디현대오일뱅크(주)직영유통단지주유소,대구광역시,북구,대구광역시 북구 검단로 93 (산격동),,산격동
34,대보주유소,대구광역시,북구,대구광역시 북구 호국로 721 (학정동),,학정동
35,평화주유소,대구광역시,남구,대구광역시 남구 이천로 97,대구광역시 남구 봉덕동 477-1,복덕동
36,복현셀프주유소,대구광역시,북구,대구광역시 북구 동북로 256 (복현동),,복현동
37,대일종합에너지주유소태전점,대구광역시,북구,대구광역시 북구 태전로 14 (태전동),,태전동
38,태왕주유소,대구광역시,북구,대구광역시 북구 동북로 9 (산격동),,산격동
39,칠곡중앙셀프주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 603 (읍내동),,읍내동
40,기분좋은SELF주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 290 (태전동),,태전동
41,진양에너지,대구광역시,북구,대구광역시 북구 노원로 3 (노원동3가),,노원동3가
42,미희주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 624 (읍내동,외 1필지(302-1))",,읍내동
43,(주)에이치씨 대하에너지 보광주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 168 (태전동,외 3필지(834-1, 835-1, 836-1))",,태전동
44,공명주유소,대구광역시,북구,대구광역시 북구 침산남로 43 (노원동1가),,노원동1가
45,에코주유소,대구광역시,북구,대구광역시 북구 노원로 190 (침산동),,침산동
46,강남고속주유소,대구광역시,북구,대구광역시 북구 노원로 216 (침산동),,침산동
47,다온주유소,대구광역시,북구,대구광역시 북구 산격로 45 (산격동),,산격동
48,대현주유소,대구광역시,북구,대구광역시 북구 대학로 16 (산격동),,산격동
49,한영주유소,대구광역시,북구,대구광역시 북구 공항로 73 (복현동),,복현동
