지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,입지선정지수
27110123,동성로2가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,18329045.45,12200000,35.8700737,128.5956082,460.6667658,634.369327,726.4117334,953.4893544,1151.548106,1564.81876,24,9,22,8,155,16,0,8,11,71,324,-9616.318508
27110107,삼덕동3가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,14133.33333,84.65,1791692.308,1657000,35.8645571,128.6092875,589.1937457,805.5638987,895.7120736,462.2266292,501.7110446,820.4310288,55,16,2,14,45,55,3,6,2,114,312,-9254.670668
27110106,삼덕동2가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,11426.92308,84.65,2598456.522,2097500,35.8655904,128.6026125,329.4129733,495.2023809,688.2240956,148.8092793,519.0670244,958.4117976,64,8,34,11,85,38,5,29,12,158,444,-9227.020258
27110105,삼덕동1가,대구광역시,중구,삼덕동,2201054,16679,14398,537,1744,69.64,0,0,800,84.65,7121206.897,4793000,35.8662987,128.5983625,415.5540428,608.9221751,796.8140227,527.3635067,843.7305021,1278.244035,30,13,25,16,188,54,2,7,43,255,633,-9172.320335
27110157,대봉동,대구광역시,중구,대봉동,2201068,9659,8251,435,972,62.98,2,1,14926.19,78.06,2050974.83,1772000,35.861649,128.6043,150.1347947,585.4361445,817.2633203,37.27445485,461.2224551,974.2621248,197,43,12,36,397,160,3,78,31,328,1285,-8906.39028
27110112,덕산동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,8000571.429,8035000,35.8660855,128.5932916,768.5175896,932.1429068,1012.200264,967.4885122,1241.459868,1699.976397,12,14,19,6,319,43,0,4,7,95,519,-8865.803508
27110119,동성로3가,대구광역시,중구,성내2동,2201059,6833,5728,350,754,51.32,0,0,6619.74,71.1,11325250,10429000,35.8676904,128.5938875,645.7527876,817.2505635,899.9924531,959.9249665,1211.423145,1647.709524,9,25,9,4,69,11,3,2,8,86,226,-8865.790806
27110117,남일동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,6837076.923,7868000,35.8693901,128.5942224,582.2457982,682.5897967,781.8731565,1013.609539,1229.168602,1628.603919,5,17,8,2,26,14,0,3,4,56,135,-8669.971508
27110148,동성로1가,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,6274857.143,7762000,35.8730919,128.5957162,450.9011242,520.14872,612.4159559,1179.734584,1296.44877,1622.481371,0,4,0,0,142,3,0,1,1,5,156,-8657.654508
27110122,공평동,대구광역시,중구,성내1동,2201056,8176,6722,639,814,42.91,0,0,5355.56,62.36,7881744.444,6677000,35.8696654,128.597925,248.0052553,558.0729146,688.7802186,767.3707113,975.1584994,1377.179015,26,11,26,13,76,51,1,29,24,172,429,-8556.133508
